,_id,sample_id,experiment_reference,experiment_id,lab,replicate,replicate_group,replicate_group_string,strain,strain_name,strain_class,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,temperature,temperature_unit,timepoint,timepoint_unit,aliquot_id,total_counts,TX_plate_name,TX_project_name,TX_sample_name,flow_volume,well,flow_rate_uL/min,date_of_experiment,cells/mL,predicted_output_mean,predicted_output_std
0,5e74fcffd3add00ff38d733b,sample.transcriptic.aq1dvh7dssh7ewe.experiment.transcriptic.r1dvbsa7n5qwxe,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,experiment.transcriptic.r1dvbsa7n5qwxe,transcriptic,1,ca7d0127c4cea6ac6f9199604eb318876f3ba4eb,"SpheroControl | 30.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | BEAD_FLUORESCENCE",SpheroControl,Fluorescent_beads,Process,Synthetic_Complete,beta-estradiol,0.0,mM,30.0,celsius,18.0,hour,aq1dvh7dssh7ewe,27,TimeSeries-12-11-2019-Run1P1,Sytox-YeastGates,SytoxYG-Plate,60000,f2,200,11-Dec-2019,450.0,0.7407407407407407,0.4465760847047224
1,5e74fd1ba3b44b40d9568234,sample.transcriptic.aq1dvh7dssbhf98.experiment.transcriptic.r1dvbsa7n5qwxe,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,experiment.transcriptic.r1dvbsa7n5qwxe,transcriptic,1,d2fa1e05da33b4d1f0e2dae1c4b581e3aa07271d,"beads_spherotech_pps_6K | 30.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | BEAD_SIZE",beads_spherotech_pps_6K,Sizing_beads,Process,Synthetic_Complete,beta-estradiol,0.0,mM,30.0,celsius,18.0,hour,aq1dvh7dssbhf98,55,TimeSeries-12-11-2019-Run1P1,Sytox-YeastGates,SytoxYG-Plate,60000,e2,200,11-Dec-2019,916.66667,0.7454545454545455,0.43962028304662343
2,5e7502d723b9a6ed388174f7,sample.transcriptic.aq1dvhgvrhhf3gj.experiment.transcriptic.r1dvbsa7n5qwxe,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,experiment.transcriptic.r1dvbsa7n5qwxe,transcriptic,1,863cd8d4e3243a86ff85d1ebd9066a051a1795f0,"SpheroControl | 30.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | BEAD_FLUORESCENCE",SpheroControl,Fluorescent_beads,Process,Synthetic_Complete,beta-estradiol,0.0,mM,30.0,celsius,20.0,hour,aq1dvhgvrhhf3gj,20323,TimeSeries-12-11-2019-Run1P2,Sytox-YeastGates,SytoxYG-Plate,60000,f2,200,11-Dec-2019,338716.66667,0.20164345815086354,0.4012372061091443
3,5e74ffc980408659f9a161c6,sample.transcriptic.aq1dvhgvrhamvqg.experiment.transcriptic.r1dvbsa7n5qwxe,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,experiment.transcriptic.r1dvbsa7n5qwxe,transcriptic,1,697b61b95ddc47617d92c19a8921bee246a45485,"beads_spherotech_pps_6K | 30.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | BEAD_SIZE",beads_spherotech_pps_6K,Sizing_beads,Process,Synthetic_Complete,beta-estradiol,0.0,mM,30.0,celsius,20.0,hour,aq1dvhgvrhamvqg,9835,TimeSeries-12-11-2019-Run1P2,Sytox-YeastGates,SytoxYG-Plate,60000,e2,200,11-Dec-2019,163916.66667,0.7373665480427046,0.44008728052489227
4,5e74fda2c05815244ace28b7,sample.transcriptic.aq1dvhtnnh2kdb9.experiment.transcriptic.r1dvbsa7n5qwxe,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,experiment.transcriptic.r1dvbsa7n5qwxe,transcriptic,1,2c0a50639c5c563f5894f2107b00bafff3d61def,"SpheroControl | 30.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | BEAD_FLUORESCENCE",SpheroControl,Fluorescent_beads,Process,Synthetic_Complete,beta-estradiol,0.0,mM,30.0,celsius,22.0,hour,aq1dvhtnnh2kdb9,20232,TimeSeries-12-11-2019-Run1P3,Sytox-YeastGates,SytoxYG-Plate,60000,f2,200,11-Dec-2019,337200.0,0.19716291024120206,0.3978662101545339
5,5e74fe1b279337c2a7aa1153,sample.transcriptic.aq1dvhtnnguwdp3.experiment.transcriptic.r1dvbsa7n5qwxe,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,experiment.transcriptic.r1dvbsa7n5qwxe,transcriptic,1,a74f84f8925b770100a8fa4c3478abbd8e4eba4b,"beads_spherotech_pps_6K | 30.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | BEAD_SIZE",beads_spherotech_pps_6K,Sizing_beads,Process,Synthetic_Complete,beta-estradiol,0.0,mM,30.0,celsius,22.0,hour,aq1dvhtnnguwdp3,9919,TimeSeries-12-11-2019-Run1P3,Sytox-YeastGates,SytoxYG-Plate,60000,e2,200,11-Dec-2019,165316.66667,0.7254763585038815,0.44629641770774714
6,5e74fe5c1339c26e49c9c472,sample.transcriptic.aq1dvj68hhw8abj.experiment.transcriptic.r1dvbsa7n5qwxe,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,experiment.transcriptic.r1dvbsa7n5qwxe,transcriptic,1,bd5b0d50e3a35c76df86315ae9d4e281e293a36e,"SpheroControl | 30.0 | [24.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | BEAD_FLUORESCENCE",SpheroControl,Fluorescent_beads,Process,Synthetic_Complete,beta-estradiol,0.0,mM,30.0,celsius,24.0,hour,aq1dvj68hhw8abj,22630,TimeSeries-12-11-2019-Run1P4,Sytox-YeastGates,SytoxYG-Plate,60000,f2,200,11-Dec-2019,377166.66667,0.20892620415377816,0.4065505492543139
7,5e74fd7537827b21162fa0ea,sample.transcriptic.aq1dvj68hhpe4je.experiment.transcriptic.r1dvbsa7n5qwxe,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,experiment.transcriptic.r1dvbsa7n5qwxe,transcriptic,1,bed0393696762e197b1bdfee39e23265381b4e76,"beads_spherotech_pps_6K | 30.0 | [24.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | BEAD_SIZE",beads_spherotech_pps_6K,Sizing_beads,Process,Synthetic_Complete,beta-estradiol,0.0,mM,30.0,celsius,24.0,hour,aq1dvj68hhpe4je,11827,TimeSeries-12-11-2019-Run1P4,Sytox-YeastGates,SytoxYG-Plate,60000,e2,200,11-Dec-2019,197116.66667,0.70702629576393,0.4551457222860686
8,5e6c02528859561b561e3e19,sample.transcriptic.aq1dvh7dsr6754b.experiment.transcriptic.r1dvbsa7n5qwxe,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,experiment.transcriptic.r1dvbsa7n5qwxe,transcriptic,1,f12d41be09557d54b043ec111802f8b642601f77,"UWBF_24926 | 30.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [4e-06]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,Synthetic_Complete,beta-estradiol,4e-06,mM,30.0,celsius,18.0,hour,aq1dvh7dsr6754b,30000,TimeSeries-12-11-2019-Run1P1,Sytox-YeastGates,SytoxYG-Plate,46000,a3,200,11-Dec-2019,652173.91304,0.9732666666666666,0.16130570213068599
9,5e6c0914e766fe93eaa7318e,sample.transcriptic.aq1dvh7dsr67549.experiment.transcriptic.r1dvbsa7n5qwxe,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,experiment.transcriptic.r1dvbsa7n5qwxe,transcriptic,1,cc1e0ddad329819ffc0b6bbf69ea75681c729792,"UWBF_23970 | 30.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_23970,CRISPR_CEN.PK2_negative_control_23970,Control,Synthetic_Complete,beta-estradiol,0.0,mM,30.0,celsius,18.0,hour,aq1dvh7dsr67549,2145,TimeSeries-12-11-2019-Run1P1,Sytox-YeastGates,SytoxYG-Plate,60000,a2,200,11-Dec-2019,35750.0,0.023310023310023312,0.15092145276318614
10,5e6c0561d3befe91aee87fae,sample.transcriptic.aq1dvh7dst4ckyw.experiment.transcriptic.r1dvbsa7n5qwxe,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,experiment.transcriptic.r1dvbsa7n5qwxe,transcriptic,1,97240a9be3643615b3f832d46b144735ac7d2812,"UWBF_24961 | 30.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24961,CRISPR_CEN.PK2_24961,Experiment,Synthetic_Complete,beta-estradiol,0.0,mM,30.0,celsius,18.0,hour,aq1dvh7dst4ckyw,8974,TimeSeries-12-11-2019-Run1P1,Sytox-YeastGates,SytoxYG-Plate,60000,h12,200,11-Dec-2019,149566.66667,0.9878537998662804,0.10954454415064833
