,_id,sample_id,experiment_reference,experiment_id,lab,replicate,replicate_group,replicate_group_string,strain,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,aliquot_id,total_counts,TX_plate_name,TX_project_name,TX_sample_name,flow_volume,well,flow_rate_uL/min,date_of_experiment,cells/mL,predicted_output_mean,predicted_output_std
0,5ef266041224eb25fb26e5de,sample.transcriptic.aq1e6tn3vf8w8dy.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,experiment.transcriptic.r1e6ge2n8x7q5p,transcriptic,1,8831ba1801ed254c9ac951e49483005ce9cd0cf0,"beads_spherotech_rainbow | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [1e-05]} | FLOW | BEAD_FLUORESCENCE",beads_spherotech_rainbow,Fluorescent_beads,Process,BEAD_FLUORESCENCE,,Synthetic_Complete,beta-estradiol,1e-05,mM,"['Synthetic_Complete', 'beta-estradiol|1e-05|mM']",35.0,celsius,18.0,hour,aq1e6tn3vf8w8dy,26513,YS-TS35C-03-05-2020-T1,Sytox-YeastGates,SytoxYG-Plate,60000,h12,200,05-Mar-2020,441883.33333,0.7155357749028778,0.4511673826625119
1,5ef26776fdcaed7ae4c67b77,sample.transcriptic.aq1e6tn3vf388ru.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,experiment.transcriptic.r1e6ge2n8x7q5p,transcriptic,1,b2186aae8219814b36acaffc0421f7dcc07c250d,"beads_spherotech_pps_6K | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | BEAD_SIZE",beads_spherotech_pps_6K,Sizing_beads,Process,BEAD_SIZE,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete', 'beta-estradiol|0.0002|mM']",35.0,celsius,18.0,hour,aq1e6tn3vf388ru,6836,YS-TS35C-03-05-2020-T1,Sytox-YeastGates,SytoxYG-Plate,60000,h11,200,05-Mar-2020,113933.33333,0.15301345816266823,0.3600268060331769
2,5ef266d64a888501c32f6a79,sample.transcriptic.aq1e6tn44zvaxpk.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,experiment.transcriptic.r1e6ge2n8x7q5p,transcriptic,1,e2f0eab46bddf9b1aa91e2ea5dcb20c48e4bb735,"beads_spherotech_rainbow | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [1e-05]} | FLOW | BEAD_FLUORESCENCE",beads_spherotech_rainbow,Fluorescent_beads,Process,BEAD_FLUORESCENCE,,Synthetic_Complete,beta-estradiol,1e-05,mM,"['Synthetic_Complete', 'beta-estradiol|1e-05|mM']",35.0,celsius,20.0,hour,aq1e6tn44zvaxpk,27074,YS-TS35C-03-05-2020-T2,Sytox-YeastGates,SytoxYG-Plate,60000,h12,200,05-Mar-2020,451233.33333,0.7185122257516436,0.44973311844757924
3,5ef2666a6d07d57cb70bf1f0,sample.transcriptic.aq1e6tn44zpmy2h.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,experiment.transcriptic.r1e6ge2n8x7q5p,transcriptic,1,d405fa7e4d250f641db78a2559cb01e426509ebe,"beads_spherotech_pps_6K | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | BEAD_SIZE",beads_spherotech_pps_6K,Sizing_beads,Process,BEAD_SIZE,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete', 'beta-estradiol|0.0002|mM']",35.0,celsius,20.0,hour,aq1e6tn44zpmy2h,7575,YS-TS35C-03-05-2020-T2,Sytox-YeastGates,SytoxYG-Plate,60000,h11,200,05-Mar-2020,126250.0,0.19947194719471947,0.39962979432187073
4,5ef266ead6c89f742627570e,sample.transcriptic.aq1e6tn4bkg3uzm.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,experiment.transcriptic.r1e6ge2n8x7q5p,transcriptic,1,2c5920db731ba0299da3dc7848135b09f7dfc46c,"beads_spherotech_rainbow | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [1e-05]} | FLOW | BEAD_FLUORESCENCE",beads_spherotech_rainbow,Fluorescent_beads,Process,BEAD_FLUORESCENCE,,Synthetic_Complete,beta-estradiol,1e-05,mM,"['Synthetic_Complete', 'beta-estradiol|1e-05|mM']",35.0,celsius,22.0,hour,aq1e6tn4bkg3uzm,26335,YS-TS35C-03-05-2020-T3,Sytox-YeastGates,SytoxYG-Plate,60000,h12,200,05-Mar-2020,438916.66667,0.7142965635086387,0.45175738226512685
5,5ef2677afdcaed7ae4c67b8a,sample.transcriptic.aq1e6tn4bkadvcf.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,experiment.transcriptic.r1e6ge2n8x7q5p,transcriptic,1,430ac148d4b18c71d508a8d271b97c9fba3620c1,"beads_spherotech_pps_6K | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | BEAD_SIZE",beads_spherotech_pps_6K,Sizing_beads,Process,BEAD_SIZE,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete', 'beta-estradiol|0.0002|mM']",35.0,celsius,22.0,hour,aq1e6tn4bkadvcf,7274,YS-TS35C-03-05-2020-T3,Sytox-YeastGates,SytoxYG-Plate,60000,h11,200,05-Mar-2020,121233.33333,0.16387132251855926,0.370184212759042
6,5ef2667e31dd0f21f58bad43,sample.transcriptic.aq1e6tn4gnebsga.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,experiment.transcriptic.r1e6ge2n8x7q5p,transcriptic,1,ad53a46deccc94b448ddc7387f309fd47b6db7c6,"beads_spherotech_rainbow | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [1e-05]} | FLOW | BEAD_FLUORESCENCE",beads_spherotech_rainbow,Fluorescent_beads,Process,BEAD_FLUORESCENCE,,Synthetic_Complete,beta-estradiol,1e-05,mM,"['Synthetic_Complete', 'beta-estradiol|1e-05|mM']",35.0,celsius,24.0,hour,aq1e6tn4gnebsga,26407,YS-TS35C-03-05-2020-T4,Sytox-YeastGates,SytoxYG-Plate,60000,h12,200,05-Mar-2020,440116.66667,0.71397735448934,0.4519086471569424
7,5ef266c3197571bba534aca0,sample.transcriptic.aq1e6tn4gn8nsu6.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,experiment.transcriptic.r1e6ge2n8x7q5p,transcriptic,1,5fd701bb0c7ffaf6a142a7f976cafab7df112e2a,"beads_spherotech_pps_6K | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | BEAD_SIZE",beads_spherotech_pps_6K,Sizing_beads,Process,BEAD_SIZE,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete', 'beta-estradiol|0.0002|mM']",35.0,celsius,24.0,hour,aq1e6tn4gn8nsu6,7215,YS-TS35C-03-05-2020-T4,Sytox-YeastGates,SytoxYG-Plate,60000,h11,200,05-Mar-2020,120250.0,0.21496881496881498,0.41082918174901983
8,5ef266131224eb25fb26e617,sample.transcriptic.aq1e6tn3vebha64.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,experiment.transcriptic.r1e6ge2n8x7q5p,transcriptic,4,8654f47218419663a3f5d9548a6e8ba836a368a4,"UWBF_24961 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24961,CRISPR_CEN.PK2_24961,Experiment,,,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete', 'beta-estradiol|0.0|mM']",35.0,celsius,18.0,hour,aq1e6tn3vebha64,16506,YS-TS35C-03-05-2020-T1,Sytox-YeastGates,SytoxYG-Plate,60000,e7,200,05-Mar-2020,275100.0,0.899248758027384,0.3010081701304475
9,5ef2668931dd0f21f58bad6e,sample.transcriptic.aq1e6tn3vdmxhpk.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,experiment.transcriptic.r1e6ge2n8x7q5p,transcriptic,10,dbd20d5921889dd2dfe11d6a2389cbd1be119d51,"UWBF_24960 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [6e-05]} | FLOW | NO_STANDARD_TYPE",UWBF_24960,CRISPR_CEN.PK2_24960,Experiment,,,Synthetic_Complete,beta-estradiol,5.9999999999999995e-05,mM,"['Synthetic_Complete', 'beta-estradiol|6e-05|mM']",35.0,celsius,18.0,hour,aq1e6tn3vdmxhpk,18805,YS-TS35C-03-05-2020-T1,Sytox-YeastGates,SytoxYG-Plate,60000,d3,200,05-Mar-2020,313416.66667,0.9846317468758309,0.12301574958597157
10,5ef266dbd6c89f74262756d1,sample.transcriptic.aq1e6tn3veyxugs.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,experiment.transcriptic.r1e6ge2n8x7q5p,transcriptic,12,fb22790ae828655d2c1a4f05d207b4ebdf3ef766,"UWBF_24961 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | NO_STANDARD_TYPE",UWBF_24961,CRISPR_CEN.PK2_24961,Experiment,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete', 'beta-estradiol|0.0002|mM']",35.0,celsius,18.0,hour,aq1e6tn3veyxugs,30000,YS-TS35C-03-05-2020-T1,Sytox-YeastGates,SytoxYG-Plate,30000,e11,200,05-Mar-2020,1000000.0,0.9601,0.19572753249240651
