,experiment,experiment_id,well,strain,lab,strain_name,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,temperature,temperature_unit,od,dead,ungrowing,doubling_time,n0,RF_prediction_mean,RF_prediction_std
0,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,a1,UWBF_6390,transcriptic,CRISPR_w303_positive_control_NOR_00_6390,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3579848240986965,False,False,0.99999999999404,7.976097134478239e-22,0.960975,0.021787855519718975
1,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,a10,UWBF_24926,transcriptic,CRISPR_CEN.PK2_24926,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3496720398279058,False,False,0.9999999999948964,6.836991075016726e-22,0.9885916666666666,0.007264748727524838
2,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,a11,UWBF_24926,transcriptic,CRISPR_CEN.PK2_24926,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3357240683990157,False,False,0.9999999999951968,6.437335207770036e-22,0.9896666666666668,0.005695092104090539
3,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,a12,UWBF_24926,transcriptic,CRISPR_CEN.PK2_24926,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3205367425013943,False,False,0.9999999999953192,6.274379011509956e-22,0.9905,0.004160929383363033
4,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,a2,UWBF_23970,transcriptic,CRISPR_CEN.PK2_negative_control_23970,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3086097167389974,False,False,0.9999999999958512,5.566634716797776e-22,0.9889801188903566,0.012022579778049972
5,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,a3,UWBF_24926,transcriptic,CRISPR_CEN.PK2_24926,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3401285628178117,False,False,0.999999999995563,5.950098361995027e-22,0.9943333333333332,0.0010568997289416753
6,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,a4,UWBF_24926,transcriptic,CRISPR_CEN.PK2_24926,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3646061801754432,False,False,0.9999999999942676,7.673376495265107e-22,0.990725,0.0036775973436772844
7,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,a5,UWBF_24926,transcriptic,CRISPR_CEN.PK2_24926,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3165671252058104,False,False,0.9999999999946968,7.1023714565977625e-22,0.9918583333333334,0.0014502554053479
8,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,a6,UWBF_24926,transcriptic,CRISPR_CEN.PK2_24926,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3361654459584136,False,False,0.9999999999956318,5.858518805310323e-22,0.9819166666666668,0.01811609679160949
9,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,a7,UWBF_24926,transcriptic,CRISPR_CEN.PK2_24926,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3459712669750628,False,False,0.999999999994978,6.728350918198116e-22,0.984525,0.0157634216768747
10,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,a8,UWBF_24926,transcriptic,CRISPR_CEN.PK2_24926,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.273244363516376,False,False,0.99999999999548,6.060580288146272e-22,0.9889833333333332,0.009132988639075464
11,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,a9,UWBF_24926,transcriptic,CRISPR_CEN.PK2_24926,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3960568428378641,False,False,0.9999999999950367,6.650269592017085e-22,0.992675,0.0029240224704005307
12,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,b1,UWBF_6390,transcriptic,CRISPR_w303_positive_control_NOR_00_6390,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.374848110911583,False,False,0.9999999999942136,7.745363018983528e-22,0.974675,0.01735283891812854
13,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,b10,UWBF_24952,transcriptic,CRISPR_CEN.PK2_24952,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.2729770374973126,False,False,0.9999999999952756,6.3324795638125695e-22,0.9931083333333331,0.0007932002689526677
14,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,b11,UWBF_24952,transcriptic,CRISPR_CEN.PK2_24952,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3123991997665712,False,False,0.9999999999947056,7.090553436713341e-22,0.9939583333333332,0.0010461127338158725
15,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,b12,UWBF_24952,transcriptic,CRISPR_CEN.PK2_24952,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3520356585365276,False,False,0.9999999999954294,6.127885648144241e-22,0.9926333333333334,0.002177834466382382
16,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,b2,UWBF_24864,transcriptic,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3415362910695103,False,False,0.9999999999966006,4.5697730265398395e-22,0.9711981168602604,0.0265410758252196
17,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,b3,UWBF_24952,transcriptic,CRISPR_CEN.PK2_24952,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3840443483983842,False,False,0.9999999999957668,5.678817048407443e-22,0.9953166666666668,0.0012591884511682545
18,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,b4,UWBF_24952,transcriptic,CRISPR_CEN.PK2_24952,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3710085049155245,False,False,0.9999999999950322,6.656307848930009e-22,0.9937333333333334,0.0014259499757471952
19,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,b5,UWBF_24952,transcriptic,CRISPR_CEN.PK2_24952,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3425637746687906,False,False,0.9999999999954128,6.149954568393215e-22,0.994875,0.0016531395495754035
20,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,b6,UWBF_24952,transcriptic,CRISPR_CEN.PK2_24952,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3547219612553238,False,False,0.9999999999949424,6.775538179411284e-22,0.9938,0.0014516912231625806
