,experiment,experiment_id,well,strain,lab,strain_name,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,temperature,temperature_unit,od,dead,ungrowing,doubling_time,n0,RF_prediction_mean,RF_prediction_std
175,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbsa7n5qwxe,h11,UWBF_24961,transcriptic,CRISPR_CEN.PK2_24961,Synthetic_Complete,beta-estradiol,0.0004,mM,30.0,celsius,0.03438625813244963,True,True,,,0.9734321210943484,0.022489612172894368
186,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,a11,UWBF_24926,transcriptic,CRISPR_CEN.PK2_24926,Synthetic_Complete,beta-estradiol,0.0004,mM,30.0,celsius,0.03418929977217967,True,True,,,0.978844721625963,0.014739445323383374
194,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,a8,UWBF_24926,transcriptic,CRISPR_CEN.PK2_24926,Synthetic_Complete,beta-estradiol,8e-05,mM,30.0,celsius,0.035695717145027686,True,True,,,0.8648455600288655,0.09639500629579197
204,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,b6,UWBF_24952,transcriptic,CRISPR_CEN.PK2_24952,Synthetic_Complete,beta-estradiol,4e-05,mM,30.0,celsius,0.03635107381297181,True,True,,,0.9862312742344644,0.011314444266415832
214,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,c4,UWBF_24959,transcriptic,CRISPR_CEN.PK2_24959,Synthetic_Complete,beta-estradiol,1e-05,mM,30.0,celsius,0.03697447261375387,True,True,,,0.9955895830084559,0.002050413418469799
228,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,d6,UWBF_24960,transcriptic,CRISPR_CEN.PK2_24960,Synthetic_Complete,beta-estradiol,4e-05,mM,30.0,celsius,0.03599820723438432,True,True,,,0.9811503905291302,0.01985082144133268
247,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,f3,UWBF_24962,transcriptic,CRISPR_CEN.PK2_24962,Synthetic_Complete,beta-estradiol,4e-06,mM,30.0,celsius,0.03643705552226434,True,True,,,0.9867628822120436,0.008385531771617568
257,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,g12,UWBF_24963,transcriptic,CRISPR_CEN.PK2_24963,Synthetic_Complete,beta-estradiol,0.0,mM,30.0,celsius,0.03467978264019998,True,True,,,0.9856616776095616,0.01172464053986855
258,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,g3,UWBF_24963,transcriptic,CRISPR_CEN.PK2_24963,Synthetic_Complete,beta-estradiol,4e-06,mM,30.0,celsius,0.036248532050256035,True,True,,,0.9932603179025176,0.0035926663806331656
259,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,g4,UWBF_24963,transcriptic,CRISPR_CEN.PK2_24963,Synthetic_Complete,beta-estradiol,1e-05,mM,30.0,celsius,0.03522823341075619,True,True,,,0.9930927744520772,0.005051448440044671
260,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,g5,UWBF_24963,transcriptic,CRISPR_CEN.PK2_24963,Synthetic_Complete,beta-estradiol,2.5e-05,mM,30.0,celsius,0.03408216048459952,True,True,,,0.9702509694924814,0.02135174368755504
261,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,g6,UWBF_24963,transcriptic,CRISPR_CEN.PK2_24963,Synthetic_Complete,beta-estradiol,4e-05,mM,30.0,celsius,0.03563501445535238,True,True,,,0.9687717430727444,0.02079820347006971
263,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,g8,UWBF_24963,transcriptic,CRISPR_CEN.PK2_24963,Synthetic_Complete,beta-estradiol,8e-05,mM,30.0,celsius,0.03667717219548098,True,True,,,0.93842945251971,0.040669727635872434
266,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,h10,UWBF_24961,transcriptic,CRISPR_CEN.PK2_24961,Synthetic_Complete,beta-estradiol,0.0002,mM,30.0,celsius,0.03581254972776611,True,True,,,0.9827991989030376,0.014897261600002015
267,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,h11,UWBF_24961,transcriptic,CRISPR_CEN.PK2_24961,Synthetic_Complete,beta-estradiol,0.0004,mM,30.0,celsius,0.03444927144846195,True,True,,,0.9905132479820016,0.003736089372203768
269,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,h3,UWBF_24961,transcriptic,CRISPR_CEN.PK2_24961,Synthetic_Complete,beta-estradiol,4e-06,mM,30.0,celsius,0.03316066876525412,True,True,,,0.8875736770809542,0.07681115066571614
270,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,h4,UWBF_24961,transcriptic,CRISPR_CEN.PK2_24961,Synthetic_Complete,beta-estradiol,1e-05,mM,30.0,celsius,0.03389012007752426,True,True,,,0.9693638238604648,0.01801495092183635
271,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,h5,UWBF_24961,transcriptic,CRISPR_CEN.PK2_24961,Synthetic_Complete,beta-estradiol,2.5e-05,mM,30.0,celsius,0.03546508559947635,True,True,,,0.9602251443676202,0.0382082116974626
272,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,h6,UWBF_24961,transcriptic,CRISPR_CEN.PK2_24961,Synthetic_Complete,beta-estradiol,4e-05,mM,30.0,celsius,0.033988421775431966,True,True,,,0.9862010853699432,0.00776932035238688
273,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,h7,UWBF_24961,transcriptic,CRISPR_CEN.PK2_24961,Synthetic_Complete,beta-estradiol,6e-05,mM,30.0,celsius,0.03323637019022861,True,True,,,0.9637880719077068,0.02476200555063595
275,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208_20200610192131,r1dvbs8vu72tbp,h9,UWBF_24961,transcriptic,CRISPR_CEN.PK2_24961,Synthetic_Complete,beta-estradiol,0.0001,mM,30.0,celsius,0.03493353191111146,True,True,,,0.9910865182843014,0.002964361203638076
