,experiment_id,well,cells_ml_mean,cells_ml_std
0,experiment.transcriptic.r1dvbsa7n5qwxe,a1,2119593.1818175,1258697.157401422
1,experiment.transcriptic.r1dvbsa7n5qwxe,a10,2217532.4675325,886952.1380122969
2,experiment.transcriptic.r1dvbsa7n5qwxe,a11,2140151.51515,968067.9972939695
3,experiment.transcriptic.r1dvbsa7n5qwxe,a12,2556818.1818175,423768.67487681605
4,experiment.transcriptic.r1dvbsa7n5qwxe,a2,894616.6666675,1162145.5524150608
5,experiment.transcriptic.r1dvbsa7n5qwxe,a3,2072931.835515,1194340.4967210472
6,experiment.transcriptic.r1dvbsa7n5qwxe,a4,2286519.0365175,833736.7689478446
7,experiment.transcriptic.r1dvbsa7n5qwxe,a5,2153696.40679,1115489.4798218713
8,experiment.transcriptic.r1dvbsa7n5qwxe,a6,2149509.80392,998954.1820819066
9,experiment.transcriptic.r1dvbsa7n5qwxe,a7,2334595.959595,840878.7569984248
10,experiment.transcriptic.r1dvbsa7n5qwxe,a8,2248234.2219175,1087198.9401457182
11,experiment.transcriptic.r1dvbsa7n5qwxe,a9,2261904.761905,937381.889761315
12,experiment.transcriptic.r1dvbsa7n5qwxe,b1,1834544.652405,1073908.9802275777
13,experiment.transcriptic.r1dvbsa7n5qwxe,b10,2155032.4675325,649536.6346198915
14,experiment.transcriptic.r1dvbsa7n5qwxe,b11,2253059.4405575,697344.8391463117
15,experiment.transcriptic.r1dvbsa7n5qwxe,b12,2326086.9565225,720786.8696106321
16,experiment.transcriptic.r1dvbsa7n5qwxe,b2,282708.3333325,370118.7443320684
17,experiment.transcriptic.r1dvbsa7n5qwxe,b3,2107256.7783075003,1140664.5155943923
18,experiment.transcriptic.r1dvbsa7n5qwxe,b4,2137927.86161,920471.505454309
19,experiment.transcriptic.r1dvbsa7n5qwxe,b5,1995310.2453100001,668173.9455892096
20,experiment.transcriptic.r1dvbsa7n5qwxe,b6,2182494.9244275,833639.5939638158
21,experiment.transcriptic.r1dvbsa7n5qwxe,b7,2300865.800865,994154.6895638196
22,experiment.transcriptic.r1dvbsa7n5qwxe,b8,2273772.2048049998,989801.6738226762
23,experiment.transcriptic.r1dvbsa7n5qwxe,b9,2363365.800865,887219.0146581064
24,experiment.transcriptic.r1dvbsa7n5qwxe,c1,2002525.252525,1023758.6768266904
25,experiment.transcriptic.r1dvbsa7n5qwxe,c10,2193722.9437225,1126891.048620106
26,experiment.transcriptic.r1dvbsa7n5qwxe,c11,1974744.0059949998,652784.7152823004
27,experiment.transcriptic.r1dvbsa7n5qwxe,c12,1897945.804195,882263.8014972339
28,experiment.transcriptic.r1dvbsa7n5qwxe,c2,256087.5,331645.91430746176
29,experiment.transcriptic.r1dvbsa7n5qwxe,c3,2303613.0536125,940559.4405562474
30,experiment.transcriptic.r1dvbsa7n5qwxe,c4,2004186.60287,864914.1519011178
31,experiment.transcriptic.r1dvbsa7n5qwxe,c5,1741948.8190724999,938271.8382430677
32,experiment.transcriptic.r1dvbsa7n5qwxe,c6,2153846.153845,835598.4993228103
33,experiment.transcriptic.r1dvbsa7n5qwxe,c7,1981737.0129875,861158.4564058135
34,experiment.transcriptic.r1dvbsa7n5qwxe,c8,2397727.2727274997,719058.7281594938
35,experiment.transcriptic.r1dvbsa7n5qwxe,c9,2164661.31907,1097683.0797225768
36,experiment.transcriptic.r1dvbsa7n5qwxe,d1,496334.8039225,845595.1355409187
37,experiment.transcriptic.r1dvbsa7n5qwxe,d10,2064338.235295,912542.6590951785
38,experiment.transcriptic.r1dvbsa7n5qwxe,d11,1768099.54751,648448.7157322126
39,experiment.transcriptic.r1dvbsa7n5qwxe,d12,1688186.039965,838702.526382542
40,experiment.transcriptic.r1dvbsa7n5qwxe,d2,218372.6449275,290407.54340915295
41,experiment.transcriptic.r1dvbsa7n5qwxe,d3,2223026.973025,954071.7132797526
42,experiment.transcriptic.r1dvbsa7n5qwxe,d4,2166558.9312650003,1005158.0199151193
43,experiment.transcriptic.r1dvbsa7n5qwxe,d5,1726816.6666675,910729.1834308502
44,experiment.transcriptic.r1dvbsa7n5qwxe,d6,2275641.02564,890541.2813719974
45,experiment.transcriptic.r1dvbsa7n5qwxe,d7,2260989.0109875,643795.6894452339
46,experiment.transcriptic.r1dvbsa7n5qwxe,d8,1957417.5824175002,595748.5835756464
47,experiment.transcriptic.r1dvbsa7n5qwxe,d9,2035256.410255,903846.1538473996
48,experiment.transcriptic.r1dvbsa7n5qwxe,e1,892436.825885,1233770.2640096254
49,experiment.transcriptic.r1dvbsa7n5qwxe,e10,1374983.7912075,932757.1978073609
50,experiment.transcriptic.r1dvbsa7n5qwxe,e11,1941176.4705875,888454.2951296114
51,experiment.transcriptic.r1dvbsa7n5qwxe,e12,917969.069745,952367.3802238565
52,experiment.transcriptic.r1dvbsa7n5qwxe,e3,374870.2898575,620331.904470195
53,experiment.transcriptic.r1dvbsa7n5qwxe,e4,1027972.0238099999,832756.7551739092
54,experiment.transcriptic.r1dvbsa7n5qwxe,e5,1349431.410255,915266.6759201325
55,experiment.transcriptic.r1dvbsa7n5qwxe,e6,463191.0087725001,744710.0223824553
