,_id,sample_id,experiment_reference,experiment_id,lab,replicate,replicate_group,replicate_group_string,strain,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,aliquot_id,flow_rate_uL/min,date_of_experiment,TX_plate_name,TX_project_name,TX_sample_name,total_counts,flow_volume,well,cells/mL,cells/mL_doubling_time,cells/mL_n0
0,5ef260ee64899c5553310321,sample.transcriptic.aq1dw7h6ytxgn6d.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,r1dw646fd4qxya,transcriptic,1,2602386595df5e2efa6786966ae929d9361ec155,"beads_spherotech_rainbow | 30.0 | [30.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | FLOW | BEAD_FLUORESCENCE",beads_spherotech_rainbow,Fluorescent_beads,Process,BEAD_FLUORESCENCE,,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,30.0,hour,aq1dw7h6ytxgn6d,200,19-Dec-2019,NovelChassisTimeSeries-12-19-2019-Run1P1,Sytox-YeastGates,SytoxYG-Plate,16918,60000,h12,281966.66667,,
1,5ef26156b8e840f0ddda98ee,sample.transcriptic.aq1dw7h6ytqpfd6.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,r1dw646fd4qxya,transcriptic,1,67df1fbf2d37ccc9d7bfe4e57dee6fc8f178b9f4,"beads_spherotech_pps_6K | 30.0 | [30.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | FLOW | BEAD_SIZE",beads_spherotech_pps_6K,Sizing_beads,Process,BEAD_SIZE,,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,30.0,hour,aq1dw7h6ytqpfd6,200,19-Dec-2019,NovelChassisTimeSeries-12-19-2019-Run1P1,Sytox-YeastGates,SytoxYG-Plate,8300,60000,h11,138333.33333,,
2,5ef260e464899c55533102ed,sample.transcriptic.aq1dw7h9qvqzncq.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,r1dw646fd4qxya,transcriptic,1,3beedda673070535b08905dd7fbdcc16c95a9f7e,"beads_spherotech_rainbow | 30.0 | [42.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | FLOW | BEAD_FLUORESCENCE",beads_spherotech_rainbow,Fluorescent_beads,Process,BEAD_FLUORESCENCE,,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,42.0,hour,aq1dw7h9qvqzncq,200,20-Dec-2019,NovelChassisTimeSeries-12-19-2019-Run1P2,Sytox-YeastGates,SytoxYG-Plate,19341,60000,h12,322350.0,,
3,5ef261055df46e3524e61f6d,sample.transcriptic.aq1dw7h9qvjbnqj.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,r1dw646fd4qxya,transcriptic,1,71ff757968ae380efcfb87353d4e545375177b63,"beads_spherotech_pps_6K | 30.0 | [42.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | FLOW | BEAD_SIZE",beads_spherotech_pps_6K,Sizing_beads,Process,BEAD_SIZE,,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,42.0,hour,aq1dw7h9qvjbnqj,200,20-Dec-2019,NovelChassisTimeSeries-12-19-2019-Run1P2,Sytox-YeastGates,SytoxYG-Plate,26578,60000,h11,442966.66667,,
4,5ef2610cc25ffbeab280abe9,sample.transcriptic.aq1dw7h6yrx2rzm.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,r1dw646fd4qxya,transcriptic,3,3f96f55cf17b1a8cd4936aaa2a843697875389ad,"B_subtilis_WT_PY79 | 30.0 | [30.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | FLOW | NO_STANDARD_TYPE",B_subtilis_WT_PY79,,Control,,EMPTY_VECTOR,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,30.0,hour,aq1dw7h6yrx2rzm,200,19-Dec-2019,NovelChassisTimeSeries-12-19-2019-Run1P1,Sytox-YeastGates,SytoxYG-Plate,30000,10000,b2,3000000.0,,
5,5ef260e264899c55533102de,sample.transcriptic.aq1dw7h6ysmmhg8.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,r1dw646fd4qxya,transcriptic,5,d1e784a5b32f5db86f7f8e3c96280a90681ebe4b,"B_subtilis_LG227 | 30.0 | [30.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | FLOW | NO_STANDARD_TYPE",B_subtilis_LG227,,,,,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,30.0,hour,aq1dw7h6ysmmhg8,200,19-Dec-2019,NovelChassisTimeSeries-12-19-2019-Run1P1,Sytox-YeastGates,SytoxYG-Plate,8247,60000,c6,137450.0,,
6,5ef261368671d5c336cdbc59,sample.transcriptic.aq1dw7h6ystah5d.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,r1dw646fd4qxya,transcriptic,5,75bbf790ac591aff8a7f3413f847aa463fbd4865,"B_subtilis_LG227 | 30.0 | [30.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | FLOW | NO_STANDARD_TYPE",B_subtilis_LG227,,,,,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,30.0,hour,aq1dw7h6ystah5d,200,19-Dec-2019,NovelChassisTimeSeries-12-19-2019-Run1P1,Sytox-YeastGates,SytoxYG-Plate,11318,60000,c7,188633.33333,,
7,5ef2619f261fb008f49d7cce,sample.transcriptic.aq1dw7h6ys4qrnq.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,r1dw646fd4qxya,transcriptic,3,11abcdbb5918b5ea2339161f5352af6142038120,"B_subtilis_WT_PY79 | 30.0 | [30.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | FLOW | NO_STANDARD_TYPE",B_subtilis_WT_PY79,,,,,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,30.0,hour,aq1dw7h6ys4qrnq,200,19-Dec-2019,NovelChassisTimeSeries-12-19-2019-Run1P1,Sytox-YeastGates,SytoxYG-Plate,30000,9000,b3,3333333.33333,,
8,5ef261af6f607e46318b6679,sample.transcriptic.aq1dw7h6ysg3qxz.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,r1dw646fd4qxya,transcriptic,4,75bbf790ac591aff8a7f3413f847aa463fbd4865,"B_subtilis_LG227 | 30.0 | [30.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | FLOW | NO_STANDARD_TYPE",B_subtilis_LG227,,,,,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,30.0,hour,aq1dw7h6ysg3qxz,200,19-Dec-2019,NovelChassisTimeSeries-12-19-2019-Run1P1,Sytox-YeastGates,SytoxYG-Plate,8602,60000,c5,143366.66667,,
9,5ef2614e19ce58870f5706de,sample.transcriptic.aq1dw7h6yrsgygd.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,r1dw646fd4qxya,transcriptic,2,3f96f55cf17b1a8cd4936aaa2a843697875389ad,"B_subtilis_WT_PY79 | 30.0 | [30.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | FLOW | NO_STANDARD_TYPE",B_subtilis_WT_PY79,,Control,,EMPTY_VECTOR,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,30.0,hour,aq1dw7h6yrsgygd,200,19-Dec-2019,NovelChassisTimeSeries-12-19-2019-Run1P1,Sytox-YeastGates,SytoxYG-Plate,30000,9000,b1,3333333.33333,,
10,5ef26194261fb008f49d7c94,sample.transcriptic.aq1dw7h6ysadraw.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,r1dw646fd4qxya,transcriptic,4,d1e784a5b32f5db86f7f8e3c96280a90681ebe4b,"B_subtilis_LG227 | 30.0 | [30.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | FLOW | NO_STANDARD_TYPE",B_subtilis_LG227,,,,,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,30.0,hour,aq1dw7h6ysadraw,200,19-Dec-2019,NovelChassisTimeSeries-12-19-2019-Run1P1,Sytox-YeastGates,SytoxYG-Plate,7202,60000,c4,120033.33333,,
