,experiment_id,strain,well,_id,sample_id,experiment_reference,lab,replicate,replicate_group,replicate_group_string,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,container_id,aliquot_id,od,fluor_gain_0.16,fluor_gain_0.16/od,dead,ungrowing,doubling_time,n0
0,r1dw646fd4qxya,B_subtilis_GFP_max,g1,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7gywvq8v3z.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,4,289d0c18c0ad76402d815d4456e8b0f1eff6b868,"B_subtilis_GFP_max | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,,0.0,,['Modified M9 Media|NA|NA'],30.0,celsius,18.0,hour,ct1dw646ft2hrvp,aq1dw7gywvq8v3z,0.044880100029394215,1.5209998109023273,33.89029,False,False,,
1,r1dw646fd4qxya,B_subtilis_GFP_max,g1,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7h2g3t3f5w.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,2,0d25cebf65120febdf929aeb1ebf87b02064fdfc,"B_subtilis_GFP_max | 30.0 | [30.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,30.0,hour,ct1dw646fstqk4g,aq1dw7h2g3t3f5w,0.037544783121136335,-0.2368554258648684,-6.30861,False,False,,
2,r1dw646fd4qxya,B_subtilis_GFP_max,g1,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7h8fk2bwbc.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,2,f895e21afdaa535d0267adcf277287be3b1b0612,"B_subtilis_GFP_max | 30.0 | [42.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,42.0,hour,ct1dw646ftjehq5,aq1dw7h8fk2bwbc,0.03863320284643415,0.9753790645098238,25.24717,False,False,,
3,r1dw646fd4qxya,B_subtilis_GFP_max,g10,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7gywxcbrxf.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,1,289d0c18c0ad76402d815d4456e8b0f1eff6b868,"B_subtilis_GFP_max | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,,0.0,,['Modified M9 Media|NA|NA'],30.0,celsius,18.0,hour,ct1dw646ft2hrvp,aq1dw7gywxcbrxf,0.04871648005904113,0.12178092271386963,2.49979,False,False,,
4,r1dw646fd4qxya,B_subtilis_GFP_max,g10,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7h2g5e25vb.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,1,2e1ac02bdb2f9dec95e7a41b8e633cc4fff38892,"B_subtilis_GFP_max | 30.0 | [30.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,30.0,hour,ct1dw646fstqk4g,aq1dw7h2g5e25vb,0.035469490252766585,-0.9934833595587896,-28.009520000000002,False,False,,
5,r1dw646fd4qxya,B_subtilis_GFP_max,g10,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7h8fmznkbz.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,1,56370990bcf71a44911d5cb4f2538bfbce74125d,"B_subtilis_GFP_max | 30.0 | [42.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,42.0,hour,ct1dw646ftjehq5,aq1dw7h8fmznkbz,0.038313509035653136,0.03422811382846688,0.8933700000000001,False,False,,
6,r1dw646fd4qxya,B_subtilis_GFP_max,g11,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7gywxk5xqn.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,2,289d0c18c0ad76402d815d4456e8b0f1eff6b868,"B_subtilis_GFP_max | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,,0.0,,['Modified M9 Media|NA|NA'],30.0,celsius,18.0,hour,ct1dw646ft2hrvp,aq1dw7gywxk5xqn,0.05332329948042019,3.10512209696009,58.23199,False,False,,
7,r1dw646fd4qxya,B_subtilis_GFP_max,g11,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7h2g5mubne.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,2,2e1ac02bdb2f9dec95e7a41b8e633cc4fff38892,"B_subtilis_GFP_max | 30.0 | [30.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,30.0,hour,ct1dw646fstqk4g,aq1dw7h2g5mubne,0.03776040383788792,0.2063515316615235,5.46476,False,False,,
8,r1dw646fd4qxya,B_subtilis_GFP_max,g11,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7h8fn7bjz7.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,2,56370990bcf71a44911d5cb4f2538bfbce74125d,"B_subtilis_GFP_max | 30.0 | [42.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,42.0,hour,ct1dw646ftjehq5,aq1dw7h8fn7bjz7,0.039600628721533665,1.7562696488425502,44.349540000000005,False,False,,
9,r1dw646fd4qxya,B_subtilis_GFP_max,g12,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7gywy2whe2.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,3,289d0c18c0ad76402d815d4456e8b0f1eff6b868,"B_subtilis_GFP_max | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,,0.0,,['Modified M9 Media|NA|NA'],30.0,celsius,18.0,hour,ct1dw646ft2hrvp,aq1dw7gywy2whe2,0.04682055167326448,1.6499916456338186,35.240759999999995,False,False,,
10,r1dw646fd4qxya,B_subtilis_GFP_max,g12,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7h2g5unhem.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,1,0d25cebf65120febdf929aeb1ebf87b02064fdfc,"B_subtilis_GFP_max | 30.0 | [30.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,30.0,hour,ct1dw646fstqk4g,aq1dw7h2g5unhem,0.03668710832470861,1.2361234971191206,33.693670000000004,False,False,,
11,r1dw646fd4qxya,B_subtilis_GFP_max,g12,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7h8fnczjnc.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,1,f895e21afdaa535d0267adcf277287be3b1b0612,"B_subtilis_GFP_max | 30.0 | [42.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,42.0,hour,ct1dw646ftjehq5,aq1dw7h8fnczjnc,0.039056478089669874,0.3223062662969776,8.252310000000001,False,False,,
12,r1dw646fd4qxya,B_subtilis_GFP_max,g2,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7gywvvwur5.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,5,289d0c18c0ad76402d815d4456e8b0f1eff6b868,"B_subtilis_GFP_max | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,,0.0,,['Modified M9 Media|NA|NA'],30.0,celsius,18.0,hour,ct1dw646ft2hrvp,aq1dw7gywvvwur5,0.04366830570579544,2.7452716280863303,62.86646,False,False,,
13,r1dw646fd4qxya,B_subtilis_GFP_max,g2,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7h2g3yresy.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,3,0d25cebf65120febdf929aeb1ebf87b02064fdfc,"B_subtilis_GFP_max | 30.0 | [30.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,30.0,hour,ct1dw646fstqk4g,aq1dw7h2g3yresy,0.0362354103821716,1.866696785335897,51.51582,False,False,,
14,r1dw646fd4qxya,B_subtilis_GFP_max,g2,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7h8fk7zvyg.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,3,f895e21afdaa535d0267adcf277287be3b1b0612,"B_subtilis_GFP_max | 30.0 | [42.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,42.0,hour,ct1dw646ftjehq5,aq1dw7h8fk7zvyg,0.0458983164234786,-1.0352422629217048,-22.555120000000002,False,False,,
15,r1dw646fd4qxya,B_subtilis_GFP_max,g3,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7gyww3kud8.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,6,289d0c18c0ad76402d815d4456e8b0f1eff6b868,"B_subtilis_GFP_max | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,,0.0,,['Modified M9 Media|NA|NA'],30.0,celsius,18.0,hour,ct1dw646ft2hrvp,aq1dw7gyww3kud8,0.04734522890522061,0.24668583470276115,5.21036,False,False,,
16,r1dw646fd4qxya,B_subtilis_GFP_max,g3,5bee125189f10442ca0f7eb3,sample.transcriptic.aq1dw7h2g45a8b8.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,transcriptic,3,2e1ac02bdb2f9dec95e7a41b8e633cc4fff38892,"B_subtilis_GFP_max | 30.0 | [30.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,,,,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,30.0,hour,ct1dw646fstqk4g,aq1dw7h2g45a8b8,0.037990127150188666,-1.171416788000451,-30.834770000000002,False,False,,
