,_id,sample_id,experiment_reference,experiment_id,lab,replicate,replicate_group,replicate_group_string,strain,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,aliquot_id,total_counts,TX_plate_name,TX_project_name,TX_sample_name,flow_volume,well,flow_rate_uL/min,date_of_experiment,cells/mL,cells/mL_doubling_time,cells/mL_n0
0,5ef25b295b3c00a21481d859,sample.transcriptic.aq1dwhy6xbvbhzn.experiment.transcriptic.r1dwhw4axfhzzx,NovelChassis-OR-Circuit-Cycle0-8hour,r1dwhw4axfhzzx,transcriptic,1,27f63727739ce15aa32a41af32483ee1301c5552,"beads_spherotech_rainbow | 30.0 | [26.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | FLOW | BEAD_FLUORESCENCE",beads_spherotech_rainbow,Fluorescent_beads,Process,BEAD_FLUORESCENCE,,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,26.0,hour,aq1dwhy6xbvbhzn,16981,NovelChassisTimeSeries-01-03-2020Run1P1,Sytox-YeastGates,SytoxYG-Plate,60000,h12,200,03-Jan-2020,283016.66667,,
1,5ef25b3411c7c4d101db893b,sample.transcriptic.aq1dwhy6xbpnjcg.experiment.transcriptic.r1dwhw4axfhzzx,NovelChassis-OR-Circuit-Cycle0-8hour,r1dwhw4axfhzzx,transcriptic,1,feed281b82c6d85bc78dab26baeb95262c7cd2d1,"beads_spherotech_pps_6K | 30.0 | [26.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | FLOW | BEAD_SIZE",beads_spherotech_pps_6K,Sizing_beads,Process,BEAD_SIZE,,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,26.0,hour,aq1dwhy6xbpnjcg,11117,NovelChassisTimeSeries-01-03-2020Run1P1,Sytox-YeastGates,SytoxYG-Plate,60000,h11,200,03-Jan-2020,185283.33333,,
2,5ef25b541066224630933cd0,sample.transcriptic.aq1dwhy6xanuzqh.experiment.transcriptic.r1dwhw4axfhzzx,NovelChassis-OR-Circuit-Cycle0-8hour,r1dwhw4axfhzzx,transcriptic,2,167108e46a6cc2b3f2c1a3858e900ca06718ee63,"MediaControl | 30.0 | [26.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | FLOW | MEDIA_BLANK",MediaControl,Media_control,Blank,MEDIA_BLANK,EMPTY_VECTOR,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,26.0,hour,aq1dwhy6xanuzqh,2028,NovelChassisTimeSeries-01-03-2020Run1P1,Sytox-YeastGates,SytoxYG-Plate,60000,h5,200,03-Jan-2020,33800.0,,
3,5ef25b5e439c496a863f244c,sample.transcriptic.aq1dwhy6xa4u2s3.experiment.transcriptic.r1dwhw4axfhzzx,NovelChassis-OR-Circuit-Cycle0-8hour,r1dwhw4axfhzzx,transcriptic,2,890efcf38f6140a31d97f7a0e7df79e1e055ba57,"B_subtilis_GFP_min | 30.0 | [26.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | FLOW | NO_STANDARD_TYPE",B_subtilis_GFP_min,,,,,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,26.0,hour,aq1dwhy6xa4u2s3,27843,NovelChassisTimeSeries-01-03-2020Run1P1,Sytox-YeastGates,SytoxYG-Plate,60000,e2,200,03-Jan-2020,464050.0,,
4,5ef25b205b3c00a21481d82a,sample.transcriptic.aq1dwhy6xar5dyn.experiment.transcriptic.r1dwhw4axfhzzx,NovelChassis-OR-Circuit-Cycle0-8hour,r1dwhw4axfhzzx,transcriptic,2,abb9fa83972e8634b8992bf14f2bf9e21723aeef,"B_subtilis_LG371 | 30.0 | [26.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | FLOW | NO_STANDARD_TYPE",B_subtilis_LG371,,,,,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,26.0,hour,aq1dwhy6xar5dyn,30000,NovelChassisTimeSeries-01-03-2020Run1P1,Sytox-YeastGates,SytoxYG-Plate,10000,d6,200,03-Jan-2020,3000000.0,,
5,5ef25b225b3c00a21481d834,sample.transcriptic.aq1dwhy6xawtdmr.experiment.transcriptic.r1dwhw4axfhzzx,NovelChassis-OR-Circuit-Cycle0-8hour,r1dwhw4axfhzzx,transcriptic,3,d1a150d4032a4bd7d4673f7bc73abd0864d066d0,"B_subtilis_LG371 | 30.0 | [26.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | FLOW | NO_STANDARD_TYPE",B_subtilis_LG371,,,,,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,26.0,hour,aq1dwhy6xawtdmr,30000,NovelChassisTimeSeries-01-03-2020Run1P1,Sytox-YeastGates,SytoxYG-Plate,11000,d7,200,03-Jan-2020,2727272.72727,,
6,5ef25b5a1066224630933cf3,sample.transcriptic.aq1dwhy6xa9cua9.experiment.transcriptic.r1dwhw4axfhzzx,NovelChassis-OR-Circuit-Cycle0-8hour,r1dwhw4axfhzzx,transcriptic,2,90888c06f5d17d5765566dfafa88dfdba210ba77,"B_subtilis_GFP_min | 30.0 | [26.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | FLOW | NO_STANDARD_TYPE",B_subtilis_GFP_min,,,,,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,26.0,hour,aq1dwhy6xa9cua9,18319,NovelChassisTimeSeries-01-03-2020Run1P1,Sytox-YeastGates,SytoxYG-Plate,60000,e3,200,03-Jan-2020,305316.66667,,
7,5ef25b35c62d8ba3e6e1fbe4,sample.transcriptic.aq1dwhy6xag723f.experiment.transcriptic.r1dwhw4axfhzzx,NovelChassis-OR-Circuit-Cycle0-8hour,r1dwhw4axfhzzx,transcriptic,2,3e13dd7885b3aa2be5a542cd68b156578cdbfd47,"MediaControl | 30.0 | [26.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | FLOW | MEDIA_BLANK",MediaControl,Media_control,Blank,MEDIA_BLANK,EMPTY_VECTOR,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,26.0,hour,aq1dwhy6xag723f,4445,NovelChassisTimeSeries-01-03-2020Run1P1,Sytox-YeastGates,SytoxYG-Plate,60000,h4,200,03-Jan-2020,74083.33333,,
8,5ef25b5b1066224630933cf5,sample.transcriptic.aq1dwhy6xatdt8r.experiment.transcriptic.r1dwhw4axfhzzx,NovelChassis-OR-Circuit-Cycle0-8hour,r1dwhw4axfhzzx,transcriptic,3,3e13dd7885b3aa2be5a542cd68b156578cdbfd47,"MediaControl | 30.0 | [26.0] | {""Cuminic Acid + IPTG"": [0.0], ""Modified M9 Media"": [""""]} | FLOW | MEDIA_BLANK",MediaControl,Media_control,Blank,MEDIA_BLANK,EMPTY_VECTOR,Modified M9 Media,Cuminic Acid + IPTG,0.0,mM,"['Cuminic Acid + IPTG|0.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,26.0,hour,aq1dwhy6xatdt8r,5092,NovelChassisTimeSeries-01-03-2020Run1P1,Sytox-YeastGates,SytoxYG-Plate,60000,h6,200,03-Jan-2020,84866.66667,,
9,5ef25b265b3c00a21481d848,sample.transcriptic.aq1dwhy6xbbak35.experiment.transcriptic.r1dwhw4axfhzzx,NovelChassis-OR-Circuit-Cycle0-8hour,r1dwhw4axfhzzx,transcriptic,1,1204e29fd8221a438dd0e33c3440f9c8eb67db61,"B_subtilis_GFP_max | 30.0 | [26.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | FLOW | NO_STANDARD_TYPE",B_subtilis_GFP_max,,Control,,HIGH_FITC,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,26.0,hour,aq1dwhy6xbbak35,30000,NovelChassisTimeSeries-01-03-2020Run1P1,Sytox-YeastGates,SytoxYG-Plate,33000,g9,200,03-Jan-2020,909090.90909,,
10,5ef25b1c5b3c00a21481d815,sample.transcriptic.aq1dwhy6xbgyjqc.experiment.transcriptic.r1dwhw4axfhzzx,NovelChassis-OR-Circuit-Cycle0-8hour,r1dwhw4axfhzzx,transcriptic,4,167108e46a6cc2b3f2c1a3858e900ca06718ee63,"MediaControl | 30.0 | [26.0] | {""Cuminic Acid + IPTG"": [1.0], ""Modified M9 Media"": [""""]} | FLOW | MEDIA_BLANK",MediaControl,Media_control,Blank,MEDIA_BLANK,EMPTY_VECTOR,Modified M9 Media,Cuminic Acid + IPTG,1.0,mM,"['Cuminic Acid + IPTG|1.0|mM', 'Modified M9 Media|NA|NA']",30.0,celsius,26.0,hour,aq1dwhy6xbgyjqc,4417,NovelChassisTimeSeries-01-03-2020Run1P1,Sytox-YeastGates,SytoxYG-Plate,60000,h10,200,03-Jan-2020,73616.66667,,
