,experiment_id,well,strain,_id,sample_id,experiment_reference,lab,replicate,replicate_group,replicate_group_string,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,container_id,aliquot_id,od,fluor_gain_0.16,fluor_gain_0.16/od,dead,ungrowing,doubling_time,n0
0,r1e5gtg9fabmeg,a1,B_subtilis_WC_PY79,5ea358f1b6abeabb8114e216,sample.transcriptic.aq1e5tx7798bnyu.experiment.transcriptic.r1e5gtg9fabmeg,NovelChassis-OR-Circuit-Cycle1-ObstacleCourse,transcriptic,1,6afc5b5b94fcdd8cdd40aeebe719544af2689ad5,"B_subtilis_WC_PY79 | 30.0 | [112.0] | {""Cuminic Acid @ 0.0 hours"": [0.0], ""Cuminic Acid @ 16.0 hours"": [0.0], ""Cuminic Acid @ 40.0 hours"": [0.0], ""Cuminic Acid @ 64.0 hours"": [0.1], ""Cuminic Acid @ 88.0 hours"": [0.1], ""IPTG @ 0.0 hours"": [0.0], ""IPTG @ 16.0 hours"": [0.0], ""IPTG @ 40.0 hours"": [1.0], ""IPTG @ 64.0 hours"": [0.0], ""IPTG @ 88.0 hours"": [1.0], ""Modified M9 Media + Kan 5_ug_per_ml"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,Control,,EMPTY_VECTOR,Modified M9 Media + Kan 5_ug_per_ml,IPTG,1.0,micromole,"['Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.1|micromole', 'Cuminic Acid|0.1|micromole', 'IPTG|0.0|micromole', 'IPTG|0.0|micromole', 'IPTG|0.0|micromole', 'IPTG|1.0|micromole', 'IPTG|1.0|micromole', 'Modified M9 Media + Kan 5_ug_per_ml']",30.0,celsius,112.0,hour,ct1e5gtgahevk5p,aq1e5tx7798bnyu,1.2974717073266977,27.26963600138036,21.01752,False,False,1.0000102307665053,2.7489331054811415e-22
1,r1e5gtg9fabmeg,a1,B_subtilis_WC_PY79,5e6c0d16f5eedd8c7e7d4d6a,sample.transcriptic.aq1e5wkt9wrch59.experiment.transcriptic.r1e5gtg9fabmeg,NovelChassis-OR-Circuit-Cycle1-ObstacleCourse,transcriptic,1,99d82e30a7cd780a99c8707d9e9db670b58132f6,"B_subtilis_WC_PY79 | 30.0 | [16.0] | {""Cuminic Acid @ 0.0 hours"": [0.0], ""IPTG @ 0.0 hours"": [0.0], ""Modified M9 Media + Kan 5_ug_per_ml"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,Control,,EMPTY_VECTOR,Modified M9 Media + Kan 5_ug_per_ml,Cuminic Acid,0.0,micromole,"['Cuminic Acid|0.0|micromole', 'IPTG|0.0|micromole', 'Modified M9 Media + Kan 5_ug_per_ml']",30.0,celsius,16.0,hour,ct1e5gtgagtk7x5,aq1e5wkt9wrch59,1.2715839156132311,31.450659213660174,24.73345,False,False,1.0000102307665053,2.7489331054811415e-22
2,r1e5gtg9fabmeg,a1,B_subtilis_WC_PY79,5e6c0d29f5eedd8c7e7d4fe0,sample.transcriptic.aq1e622t8edbgma.experiment.transcriptic.r1e5gtg9fabmeg,NovelChassis-OR-Circuit-Cycle1-ObstacleCourse,transcriptic,1,e7b3d821636833ac0cbd5d7977b079e563ae9464,"B_subtilis_WC_PY79 | 30.0 | [40.0] | {""Cuminic Acid @ 0.0 hours"": [0.0], ""Cuminic Acid @ 16.0 hours"": [0.0], ""IPTG @ 0.0 hours"": [0.0], ""IPTG @ 16.0 hours"": [0.0], ""Modified M9 Media + Kan 5_ug_per_ml"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,Control,,EMPTY_VECTOR,Modified M9 Media + Kan 5_ug_per_ml,Cuminic Acid,0.0,micromole,"['Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.0|micromole', 'IPTG|0.0|micromole', 'IPTG|0.0|micromole', 'Modified M9 Media + Kan 5_ug_per_ml']",30.0,celsius,40.0,hour,ct1e5gtgag65nkj,aq1e622t8edbgma,1.1358269027269978,14.1244627244372,12.4354,False,False,1.0000102307665053,2.7489331054811415e-22
3,r1e5gtg9fabmeg,a1,B_subtilis_WC_PY79,5e6c0d30f5eedd8c7e7d50ca,sample.transcriptic.aq1e638a9wgqqvd.experiment.transcriptic.r1e5gtg9fabmeg,NovelChassis-OR-Circuit-Cycle1-ObstacleCourse,transcriptic,1,689dae1e01224cc03918a3637e4fae500118044a,"B_subtilis_WC_PY79 | 30.0 | [48.0] | {""Cuminic Acid @ 0.0 hours"": [0.0], ""Cuminic Acid @ 16.0 hours"": [0.0], ""Cuminic Acid @ 40.0 hours"": [0.0], ""IPTG @ 0.0 hours"": [0.0], ""IPTG @ 16.0 hours"": [0.0], ""IPTG @ 40.0 hours"": [1.0], ""Modified M9 Media + Kan 5_ug_per_ml"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,Control,,EMPTY_VECTOR,Modified M9 Media + Kan 5_ug_per_ml,Cuminic Acid,0.0,micromole,"['Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.0|micromole', 'IPTG|0.0|micromole', 'IPTG|0.0|micromole', 'IPTG|1.0|micromole', 'Modified M9 Media + Kan 5_ug_per_ml']",30.0,celsius,48.0,hour,ct1e5gtgamyzrrt,aq1e638a9wgqqvd,0.8879353977005943,33.55109190535471,37.785509999999995,False,False,1.0000102307665053,2.7489331054811415e-22
4,r1e5gtg9fabmeg,a1,B_subtilis_WC_PY79,5e6c0d3cf5eedd8c7e7d5254,sample.transcriptic.aq1e65h2emcyajy.experiment.transcriptic.r1e5gtg9fabmeg,NovelChassis-OR-Circuit-Cycle1-ObstacleCourse,transcriptic,1,07d6eafa6d24ff8e20cde06761d8b60d8a112030,"B_subtilis_WC_PY79 | 30.0 | [64.0] | {""Cuminic Acid @ 0.0 hours"": [0.0], ""Cuminic Acid @ 16.0 hours"": [0.0], ""Cuminic Acid @ 40.0 hours"": [0.0], ""IPTG @ 0.0 hours"": [0.0], ""IPTG @ 16.0 hours"": [0.0], ""IPTG @ 40.0 hours"": [1.0], ""Modified M9 Media + Kan 5_ug_per_ml"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,Control,,EMPTY_VECTOR,Modified M9 Media + Kan 5_ug_per_ml,Cuminic Acid,0.0,micromole,"['Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.0|micromole', 'IPTG|0.0|micromole', 'IPTG|0.0|micromole', 'IPTG|1.0|micromole', 'Modified M9 Media + Kan 5_ug_per_ml']",30.0,celsius,64.0,hour,ct1e5gtgam2gmcy,aq1e65h2emcyajy,1.1468921383216637,18.19947106141202,15.86851,False,False,1.0000102307665053,2.7489331054811415e-22
5,r1e5gtg9fabmeg,a1,B_subtilis_WC_PY79,5e6c0d47f5eedd8c7e7d53b1,sample.transcriptic.aq1e66phrjh47cu.experiment.transcriptic.r1e5gtg9fabmeg,NovelChassis-OR-Circuit-Cycle1-ObstacleCourse,transcriptic,1,d9ab8d308638d60b1ee622bf432d45610552fcb2,"B_subtilis_WC_PY79 | 30.0 | [72.0] | {""Cuminic Acid @ 0.0 hours"": [0.0], ""Cuminic Acid @ 16.0 hours"": [0.0], ""Cuminic Acid @ 40.0 hours"": [0.0], ""Cuminic Acid @ 64.0 hours"": [0.1], ""IPTG @ 0.0 hours"": [0.0], ""IPTG @ 16.0 hours"": [0.0], ""IPTG @ 40.0 hours"": [1.0], ""IPTG @ 64.0 hours"": [0.0], ""Modified M9 Media + Kan 5_ug_per_ml"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,Control,,EMPTY_VECTOR,Modified M9 Media + Kan 5_ug_per_ml,IPTG,0.0,micromole,"['Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.1|micromole', 'IPTG|0.0|micromole', 'IPTG|0.0|micromole', 'IPTG|0.0|micromole', 'IPTG|1.0|micromole', 'Modified M9 Media + Kan 5_ug_per_ml']",30.0,celsius,72.0,hour,ct1e5gtgamnsykh,aq1e66phrjh47cu,0.9833894091284574,31.231936058013954,31.75948,False,False,1.0000102307665053,2.7489331054811415e-22
6,r1e5gtg9fabmeg,a1,B_subtilis_WC_PY79,5e6c0d4ef5eedd8c7e7d5499,sample.transcriptic.aq1e68y9bg8p4qz.experiment.transcriptic.r1e5gtg9fabmeg,NovelChassis-OR-Circuit-Cycle1-ObstacleCourse,transcriptic,1,4dd006d8add68018dcfe6446c6d07152c9296f6d,"B_subtilis_WC_PY79 | 30.0 | [88.0] | {""Cuminic Acid @ 0.0 hours"": [0.0], ""Cuminic Acid @ 16.0 hours"": [0.0], ""Cuminic Acid @ 40.0 hours"": [0.0], ""Cuminic Acid @ 64.0 hours"": [0.1], ""IPTG @ 0.0 hours"": [0.0], ""IPTG @ 16.0 hours"": [0.0], ""IPTG @ 40.0 hours"": [1.0], ""IPTG @ 64.0 hours"": [0.0], ""Modified M9 Media + Kan 5_ug_per_ml"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,Control,,EMPTY_VECTOR,Modified M9 Media + Kan 5_ug_per_ml,IPTG,0.0,micromole,"['Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.1|micromole', 'IPTG|0.0|micromole', 'IPTG|0.0|micromole', 'IPTG|0.0|micromole', 'IPTG|1.0|micromole', 'Modified M9 Media + Kan 5_ug_per_ml']",30.0,celsius,88.0,hour,ct1e5gtgah4nsyd,aq1e68y9bg8p4qz,1.2336882090735832,11.98157558620732,9.712,False,False,1.0000102307665053,2.7489331054811415e-22
7,r1e5gtg9fabmeg,a1,B_subtilis_WC_PY79,5e8e661ff5eedd8c7e0d6bd5,sample.transcriptic.aq1e6a5s5jafquv.experiment.transcriptic.r1e5gtg9fabmeg,NovelChassis-OR-Circuit-Cycle1-ObstacleCourse,transcriptic,1,5b226d8f6644bb07cd3cc9e59fbcc9b9936c8b5d,"B_subtilis_WC_PY79 | 30.0 | [96.0] | {""Cuminic Acid @ 0.0 hours"": [0.0], ""Cuminic Acid @ 16.0 hours"": [0.0], ""Cuminic Acid @ 40.0 hours"": [0.0], ""Cuminic Acid @ 64.0 hours"": [0.1], ""Cuminic Acid @ 88.0 hours"": [0.1], ""IPTG @ 0.0 hours"": [0.0], ""IPTG @ 16.0 hours"": [0.0], ""IPTG @ 40.0 hours"": [1.0], ""IPTG @ 64.0 hours"": [0.0], ""IPTG @ 88.0 hours"": [1.0], ""Modified M9 Media + Kan 5_ug_per_ml"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,Control,,EMPTY_VECTOR,Modified M9 Media + Kan 5_ug_per_ml,IPTG,1.0,micromole,"['Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.1|micromole', 'Cuminic Acid|0.1|micromole', 'IPTG|0.0|micromole', 'IPTG|0.0|micromole', 'IPTG|0.0|micromole', 'IPTG|1.0|micromole', 'IPTG|1.0|micromole', 'Modified M9 Media + Kan 5_ug_per_ml']",30.0,celsius,96.0,hour,ct1e5gtganb8hx4,aq1e6a5s5jafquv,0.8240868389884799,27.26963600138036,33.09073,False,False,1.0000102307665053,2.7489331054811415e-22
8,r1e5gtg9fabmeg,a10,B_subtilis_WC_JAB549,5ea358f4b6abeabb8114e2a8,sample.transcriptic.aq1e5tx779br9d3.experiment.transcriptic.r1e5gtg9fabmeg,NovelChassis-OR-Circuit-Cycle1-ObstacleCourse,transcriptic,1,39b3138837ebb7ddc2ce28630d0b6ec82fb616e9,"B_subtilis_WC_JAB549 | 30.0 | [112.0] | {""Cuminic Acid @ 0.0 hours"": [0.0], ""Cuminic Acid @ 16.0 hours"": [0.0], ""Cuminic Acid @ 40.0 hours"": [0.0], ""Cuminic Acid @ 64.0 hours"": [0.1], ""Cuminic Acid @ 88.0 hours"": [0.1], ""IPTG @ 0.0 hours"": [0.0], ""IPTG @ 16.0 hours"": [0.0], ""IPTG @ 40.0 hours"": [1.0], ""IPTG @ 64.0 hours"": [0.0], ""IPTG @ 88.0 hours"": [1.0], ""Modified M9 Media + Kan 5_ug_per_ml"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,Control,,EMPTY_VECTOR,Modified M9 Media + Kan 5_ug_per_ml,IPTG,1.0,micromole,"['Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.0|micromole', 'Cuminic Acid|0.1|micromole', 'Cuminic Acid|0.1|micromole', 'IPTG|0.0|micromole', 'IPTG|0.0|micromole', 'IPTG|0.0|micromole', 'IPTG|1.0|micromole', 'IPTG|1.0|micromole', 'Modified M9 Media + Kan 5_ug_per_ml']",30.0,celsius,112.0,hour,ct1e5gtgahevk5p,aq1e5tx779br9d3,1.3306654177206465,20.546202370009755,15.44055,False,False,1.00000244131311,2.818151179497885e-22
9,r1e5gtg9fabmeg,a10,B_subtilis_WC_JAB549,5e6c0d16f5eedd8c7e7d4d76,sample.transcriptic.aq1e5wkt9wus4hf.experiment.transcriptic.r1e5gtg9fabmeg,NovelChassis-OR-Circuit-Cycle1-ObstacleCourse,transcriptic,1,4f3de941ddbf77d175c17bf4c59779f7366853c2,"B_subtilis_WC_JAB549 | 30.0 | [16.0] | {""Cuminic Acid @ 0.0 hours"": [0.0], ""IPTG @ 0.0 hours"": [0.0], ""Modified M9 Media + Kan 5_ug_per_ml"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",,Control,,EMPTY_VECTOR,Modified M9 Media + Kan 5_ug_per_ml,Cuminic Acid,0.0,micromole,"['Cuminic Acid|0.0|micromole', 'IPTG|0.0|micromole', 'Modified M9 Media + Kan 5_ug_per_ml']",30.0,celsius,16.0,hour,ct1e5gtgagtk7x5,aq1e5wkt9wus4hf,1.0203332835432741,19.95089526884448,19.55331,False,False,1.00000244131311,2.818151179497885e-22
