,experiment_id,well,_id,sample_id,experiment_reference,lab,replicate,replicate_group,replicate_group_string,strain,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,aliquot_id,total_counts,TX_plate_name,TX_project_name,TX_sample_name,flow_volume,flow_rate_uL/min,date_of_experiment,cells/mL,cells/mL_doubling_time,cells/mL_n0
0,r1e88vcjan8eqj,a1,5ef2688a8c131da11924bf58,sample.transcriptic.aq1e8w56s6tsb6b.experiment.transcriptic.r1e88vcjan8eqj,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Dose-Response,transcriptic,1,a60cb580d89cc4ef30a128535c82778f993ee947,"UWBF_6390 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_6390,CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",35.0,celsius,18.0,hour,aq1e8w56s6tsb6b,4538,YS-TS35C-03-24-2020-R1T1,Sytox-YeastGates,SytoxYG-Plate,60000,200,24-Mar-2020,75633.33333,-106403111.1275023,751861.8391979235
1,r1e88vcjan8eqj,a1,5ef2677c6447b674e829792f,sample.transcriptic.aq1e8w56xk5c9ka.experiment.transcriptic.r1e88vcjan8eqj,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Dose-Response,transcriptic,1,f7e7377ff5b87a6150aea00a4358f62d3610ef2e,"UWBF_6390 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_6390,CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",35.0,celsius,20.0,hour,aq1e8w56xk5c9ka,6172,YS-TS35C-03-24-2020-R1T2,Sytox-YeastGates,SytoxYG-Plate,60000,200,24-Mar-2020,102866.66667,-106403111.1275023,751861.8391979235
2,r1e88vcjan8eqj,a1,5ef267401da9671dc8329de2,sample.transcriptic.aq1e8w573h9x459.experiment.transcriptic.r1e88vcjan8eqj,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Dose-Response,transcriptic,1,cee1abe0793704b5e8e00f9222bb2e1905582b35,"UWBF_6390 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_6390,CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",35.0,celsius,22.0,hour,aq1e8w573h9x459,30000,YS-TS35C-03-24-2020-R1T3,Sytox-YeastGates,SytoxYG-Plate,24000,200,24-Mar-2020,1250000.0,-106403111.1275023,751861.8391979235
3,r1e88vcjan8eqj,a1,5ef269532df5d34bd89052d3,sample.transcriptic.aq1e8w577qnzewf.experiment.transcriptic.r1e88vcjan8eqj,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Dose-Response,transcriptic,1,bf5d5bfaa51674fc1a1a04cec9b73284633a7e0a,"UWBF_6390 | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_6390,CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",35.0,celsius,24.0,hour,aq1e8w577qnzewf,30000,YS-TS35C-03-24-2020-R1T4,Sytox-YeastGates,SytoxYG-Plate,19000,200,24-Mar-2020,1578947.3684200002,-106403111.1275023,751861.8391979235
4,r1e88vcjan8eqj,a10,5ef268dc6aa784e5943450cb,sample.transcriptic.aq1e8w56s8a78cr.experiment.transcriptic.r1e88vcjan8eqj,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Dose-Response,transcriptic,1,49f1bbac9b53a7616ae13256046194f1a070c628,"UWBF_25784 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | NO_STANDARD_TYPE",UWBF_25784,CRISPR_CEN.PK2_inducible_FP_25784,Control,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0002|mM']",35.0,celsius,18.0,hour,aq1e8w56s8a78cr,5003,YS-TS35C-03-24-2020-R1T1,Sytox-YeastGates,SytoxYG-Plate,60000,200,24-Mar-2020,83383.33333,-181240305.93021834,954719.6418425564
5,r1e88vcjan8eqj,a10,5ef267f12177cf56c13b534c,sample.transcriptic.aq1e8w56xmq6s6p.experiment.transcriptic.r1e88vcjan8eqj,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Dose-Response,transcriptic,1,51582e502213917dfd14a27fcc4d0d054f7faf1d,"UWBF_25784 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | NO_STANDARD_TYPE",UWBF_25784,CRISPR_CEN.PK2_inducible_FP_25784,Control,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0002|mM']",35.0,celsius,20.0,hour,aq1e8w56xmq6s6p,9844,YS-TS35C-03-24-2020-R1T2,Sytox-YeastGates,SytoxYG-Plate,60000,200,24-Mar-2020,164066.66667,-181240305.93021834,954719.6418425564
6,r1e88vcjan8eqj,a10,5ef2693a24a1262d629f8727,sample.transcriptic.aq1e8w573jsg7fk.experiment.transcriptic.r1e88vcjan8eqj,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Dose-Response,transcriptic,1,69e098b884c6cbc2f18ac3adb58e47f5e6308830,"UWBF_25784 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | NO_STANDARD_TYPE",UWBF_25784,CRISPR_CEN.PK2_inducible_FP_25784,Control,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0002|mM']",35.0,celsius,22.0,hour,aq1e8w573jsg7fk,30000,YS-TS35C-03-24-2020-R1T3,Sytox-YeastGates,SytoxYG-Plate,28000,200,24-Mar-2020,1071428.57143,-181240305.93021834,954719.6418425564
7,r1e88vcjan8eqj,a10,5ef268d06aa784e59434508e,sample.transcriptic.aq1e8w577s8txgw.experiment.transcriptic.r1e88vcjan8eqj,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Dose-Response,transcriptic,1,087ff597b5fb4f4f1f8d00881621284b9905836f,"UWBF_25784 | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | NO_STANDARD_TYPE",UWBF_25784,CRISPR_CEN.PK2_inducible_FP_25784,Control,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0002|mM']",35.0,celsius,24.0,hour,aq1e8w577s8txgw,30000,YS-TS35C-03-24-2020-R1T4,Sytox-YeastGates,SytoxYG-Plate,12000,200,24-Mar-2020,2500000.0,-181240305.93021834,954719.6418425564
8,r1e88vcjan8eqj,a11,5ef267321da9671dc8329da5,sample.transcriptic.aq1e8w56s8fv7zv.experiment.transcriptic.r1e88vcjan8eqj,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Dose-Response,transcriptic,1,ee2f09c9c530333cf91b9424082a02be784a3bae,"UWBF_25784 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0001]} | FLOW | NO_STANDARD_TYPE",UWBF_25784,CRISPR_CEN.PK2_inducible_FP_25784,Control,,,Synthetic_Complete,beta-estradiol,0.0001,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0001|mM']",35.0,celsius,18.0,hour,aq1e8w56s8fv7zv,4292,YS-TS35C-03-24-2020-R1T1,Sytox-YeastGates,SytoxYG-Plate,60000,200,24-Mar-2020,71533.33333,-120667100.68936488,1039125.7578999193
9,r1e88vcjan8eqj,a11,5ef268878c131da11924bf4b,sample.transcriptic.aq1e8w56xmvurtu.experiment.transcriptic.r1e88vcjan8eqj,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Dose-Response,transcriptic,1,5df5808a7eaceff8fe62426e1f8be2f3b0055a07,"UWBF_25784 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0001]} | FLOW | NO_STANDARD_TYPE",UWBF_25784,CRISPR_CEN.PK2_inducible_FP_25784,Control,,,Synthetic_Complete,beta-estradiol,0.0001,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0001|mM']",35.0,celsius,20.0,hour,aq1e8w56xmvurtu,13280,YS-TS35C-03-24-2020-R1T2,Sytox-YeastGates,SytoxYG-Plate,60000,200,24-Mar-2020,221333.33333000002,-120667100.68936488,1039125.7578999193
10,r1e88vcjan8eqj,a11,5ef2693324a1262d629f8709,sample.transcriptic.aq1e8w573jy674r.experiment.transcriptic.r1e88vcjan8eqj,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Dose-Response,transcriptic,1,1462dadd9fa32aea9dbca0a4b44ba45988e14ddc,"UWBF_25784 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0001]} | FLOW | NO_STANDARD_TYPE",UWBF_25784,CRISPR_CEN.PK2_inducible_FP_25784,Control,,,Synthetic_Complete,beta-estradiol,0.0001,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0001|mM']",35.0,celsius,22.0,hour,aq1e8w573jy674r,30000,YS-TS35C-03-24-2020-R1T3,Sytox-YeastGates,SytoxYG-Plate,22000,200,24-Mar-2020,1363636.3636399999,-120667100.68936488,1039125.7578999193
