,experiment_id,well,strain,_id,sample_id,experiment_reference,lab,replicate,replicate_group,replicate_group_string,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,container_id,aliquot_id,od,fluor_gain_0.20,fluor_gain_0.20/od,dead,ungrowing,doubling_time,n0
0,r1dtsch56yk5pq,a1,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dtuuvekhcgqp.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,transcriptic,1,c3f4ce374ef27184dd1ec8ec6a5530c410426523,"UWBF_24926 | 30.0 | [16.0] | {""Synthetic_Complete"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,,0.0,,['Synthetic_Complete|NA|NA'],30.0,celsius,16.0,hour,ct1dtsch5muw3yx,aq1dtuuvekhcgqp,1.285991057307488,61849.902402625485,48095.12636,True,True,,
1,r1dtsch56yk5pq,a1,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dtvqztbs9y82.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,transcriptic,1,dc9b98c226d0e05fadeb23d1931939aab3d9bca8,"UWBF_24926 | 30.0 | [22.0] | {""Synthetic_Complete"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,,0.0,,['Synthetic_Complete|NA|NA'],30.0,celsius,22.0,hour,ct1dtsch5sj8dn3,aq1dtvqztbs9y82,0.302059833735116,61946.626204485125,205080.64723,True,True,,
2,r1dtsch56yk5pq,a1,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dtwm5d9nrmds.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,transcriptic,1,589f24368aa3237448300fbed8404fae05b5982d,"UWBF_24926 | 30.0 | [28.0] | {""Synthetic_Complete"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,,0.0,,['Synthetic_Complete|NA|NA'],30.0,celsius,28.0,hour,ct1dtsch5qfh588,aq1dtwm5d9nrmds,0.035443342119564535,62393.50570397953,1760373.09048,True,True,,
3,r1dtsch56yk5pq,a1,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dty4mt8rfsq5.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,transcriptic,1,0fe349347cc12924a635bf172cfcdbb20114bc9a,"UWBF_24926 | 30.0 | [34.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",30.0,celsius,34.0,hour,ct1dtsch5rz7epk,aq1dty4mt8rfsq5,0.03418205145769703,62452.46012991991,1827054.1839,True,True,,
4,r1dtsch56yk5pq,a1,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dtyzrgkdps74.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,transcriptic,1,1d7f39872540a2e1c50d2c391c89aad7d6cbadb8,"UWBF_24926 | 30.0 | [40.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",30.0,celsius,40.0,hour,ct1dtsch5qx9pwn,aq1dtyzrgkdps74,0.0342426145666919,62194.60931059733,1816292.65457,True,True,,
5,r1dtsch56yk5pq,a1,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dtzcetpzuzv8.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,transcriptic,1,9e15810e12ef0a4e9dfc996622b8ca41f4eaa281,"UWBF_24926 | 30.0 | [46.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",30.0,celsius,46.0,hour,ct1dtsch5qqfh5f,aq1dtzcetpzuzv8,0.03415750160928215,62165.81641355124,1819975.51005,True,True,,
6,r1dtsch56yk5pq,a10,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dtuuveknwa8v.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,transcriptic,10,c3f4ce374ef27184dd1ec8ec6a5530c410426523,"UWBF_24926 | 30.0 | [16.0] | {""Synthetic_Complete"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,,0.0,,['Synthetic_Complete|NA|NA'],30.0,celsius,16.0,hour,ct1dtsch5muw3yx,aq1dtuuveknwa8v,1.1000766915340716,63360.512241832155,57596.450070000006,True,True,,
7,r1dtsch56yk5pq,a10,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dtvqztbwtrr6.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,transcriptic,10,dc9b98c226d0e05fadeb23d1931939aab3d9bca8,"UWBF_24926 | 30.0 | [22.0] | {""Synthetic_Complete"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,,0.0,,['Synthetic_Complete|NA|NA'],30.0,celsius,22.0,hour,ct1dtsch5sj8dn3,aq1dtvqztbwtrr6,0.07908701737901808,63008.12463463067,796693.65115,True,True,,
8,r1dtsch56yk5pq,a10,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dtwm5d9tadwz.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,transcriptic,10,589f24368aa3237448300fbed8404fae05b5982d,"UWBF_24926 | 30.0 | [28.0] | {""Synthetic_Complete"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,,0.0,,['Synthetic_Complete|NA|NA'],30.0,celsius,28.0,hour,ct1dtsch5qfh588,aq1dtwm5d9tadwz,0.03334752602790887,63420.69054711907,1901810.96175,True,True,,
9,r1dtsch56yk5pq,a10,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dty4mt8uvd4c.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,transcriptic,2,06d18e8d2e3eed2a63081e4993a22c1086daad03,"UWBF_24926 | 30.0 | [34.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [6.3e-06]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,6.3e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|6.3e-06|mM']",30.0,celsius,34.0,hour,ct1dtsch5rz7epk,aq1dty4mt8uvd4c,0.03381844670835278,63739.03466633202,1884741.63867,True,True,,
