,experiment_id,well,_id,sample_id,experiment_reference,lab,replicate,replicate_group,replicate_group_string,strain,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,aliquot_id,total_counts,TX_plate_name,TX_project_name,TX_sample_name,flow_volume,flow_rate_uL/min,date_of_experiment,cells/mL,cells/mL_doubling_time,cells/mL_n0
0,r1dvbs7kdxq4md,a1,5ef26518ed7a130d9ba086bd,sample.transcriptic.aq1dvmrawcr5tg9.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,7,3d500e3a0450248cdbd684ec6f406dfc64a0c7aa,"UWBF_6390 | 30.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_6390,CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",30.0,celsius,18.0,hour,aq1dvmrawcr5tg9,4279,TimeSeries-12-12-2019-Run3P1,Sytox-YeastGates,SytoxYG-Plate,60000,200,12-Dec-2019,71316.66667,-87100835.53120442,330578.2017628627
1,r1dvbs7kdxq4md,a1,5ef263649c348cde99e47ed4,sample.transcriptic.aq1dvn2sw3gbzpm.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,7,a2dbe0e4b1e240740ddd294a87c35c5c34f8f76d,"UWBF_6390 | 30.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_6390,CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",30.0,celsius,20.0,hour,aq1dvn2sw3gbzpm,1342,TimeSeries-12-12-2019-Run3P2,Sytox-YeastGates,SytoxYG-Plate,60000,200,12-Dec-2019,22366.66667,-87100835.53120442,330578.2017628627
2,r1dvbs7kdxq4md,a1,5ef26546a5ee1ef6f4537bd6,sample.transcriptic.aq1dvnc7pnntux8.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,7,302386aea00862ffd523912a8ddfbe0731beff7f,"UWBF_6390 | 30.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_6390,CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",30.0,celsius,22.0,hour,aq1dvnc7pnntux8,4487,TimeSeries-12-12-2019-Run3P3,Sytox-YeastGates,SytoxYG-Plate,60000,200,12-Dec-2019,74783.33333,-87100835.53120442,330578.2017628627
3,r1dvbs7kdxq4md,a1,5ef2631c841e1fe9d0375827,sample.transcriptic.aq1dvnnsmqw2mb9.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,7,a943da9fc4e788330b1a30442a47f6d7abfb7161,"UWBF_6390 | 30.0 | [24.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_6390,CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",30.0,celsius,24.0,hour,aq1dvnnsmqw2mb9,30000,TimeSeries-12-12-2019-Run3P4,Sytox-YeastGates,SytoxYG-Plate,26000,200,12-Dec-2019,1153846.15385,-87100835.53120442,330578.2017628627
4,r1dvbs7kdxq4md,a10,5ef2647f1fd442b868a3811f,sample.transcriptic.aq1dvmrawcujdvg.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,3,c90084b55efab3341314d72641ad4d9885797a6c,"UWBF_24926 | 30.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0002|mM']",30.0,celsius,18.0,hour,aq1dvmrawcujdvg,274,TimeSeries-12-12-2019-Run3P1,Sytox-YeastGates,SytoxYG-Plate,60000,200,12-Dec-2019,4566.6666700000005,-48388255.802448444,15441.666576739319
5,r1dvbs7kdxq4md,a10,5ef263dc69af12f7c2e3be94,sample.transcriptic.aq1dvn2sw3mvt7r.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,3,825f666c28f051e54833747c8a598298d9ae0f1d,"UWBF_24926 | 30.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0002|mM']",30.0,celsius,20.0,hour,aq1dvn2sw3mvt7r,127,TimeSeries-12-12-2019-Run3P2,Sytox-YeastGates,SytoxYG-Plate,60000,200,12-Dec-2019,2116.66667,-48388255.802448444,15441.666576739319
6,r1dvbs7kdxq4md,a10,5ef26315841e1fe9d03757fa,sample.transcriptic.aq1dvnc7pns8fbf.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,3,348f4b9bb9c45515ec4235f61b7361712c05bbe9,"UWBF_24926 | 30.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0002|mM']",30.0,celsius,22.0,hour,aq1dvnc7pns8fbf,285,TimeSeries-12-12-2019-Run3P3,Sytox-YeastGates,SytoxYG-Plate,60000,200,12-Dec-2019,4750.0,-48388255.802448444,15441.666576739319
7,r1dvbs7kdxq4md,a10,5ef26509ed7a130d9ba08660,sample.transcriptic.aq1dvnnsmr2kdue.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,3,943ecebf93149adf532cf91e83041185dfd4e378,"UWBF_24926 | 30.0 | [24.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0002|mM']",30.0,celsius,24.0,hour,aq1dvnnsmr2kdue,3020,TimeSeries-12-12-2019-Run3P4,Sytox-YeastGates,SytoxYG-Plate,60000,200,12-Dec-2019,50333.33333,-48388255.802448444,15441.666576739319
8,r1dvbs7kdxq4md,a11,5ef26397800a902fd198b183,sample.transcriptic.aq1dvmrawcvpkze.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,3,f32735cdbc367f58a27dde54b2d396efb995304f,"UWBF_24926 | 30.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0004]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0004,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0004|mM']",30.0,celsius,18.0,hour,aq1dvmrawcvpkze,265,TimeSeries-12-12-2019-Run3P1,Sytox-YeastGates,SytoxYG-Plate,60000,200,12-Dec-2019,4416.6666700000005,-58085578.34007727,12829.166614926502
9,r1dvbs7kdxq4md,a11,5ef26443d3e14018ee86ef87,sample.transcriptic.aq1dvn2sw3mvt7t.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,3,50bdf472d42a31ceb68d470438fcf94e54555b7e,"UWBF_24926 | 30.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0004]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0004,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0004|mM']",30.0,celsius,20.0,hour,aq1dvn2sw3mvt7t,123,TimeSeries-12-12-2019-Run3P2,Sytox-YeastGates,SytoxYG-Plate,60000,200,12-Dec-2019,2050.0,-58085578.34007727,12829.166614926502
10,r1dvbs7kdxq4md,a11,5ef264ba7729660395322c4c,sample.transcriptic.aq1dvnc7pntcnfc.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,3,2608cd2c5c6ea1b3149bc9830c7af18e3e8ee545,"UWBF_24926 | 30.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0004]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0004,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0004|mM']",30.0,celsius,22.0,hour,aq1dvnc7pntcnfc,160,TimeSeries-12-12-2019-Run3P3,Sytox-YeastGates,SytoxYG-Plate,60000,200,12-Dec-2019,2666.66667,-58085578.34007727,12829.166614926502
