,experiment_id,well,strain,_id,sample_id,experiment_reference,lab,replicate,replicate_group,replicate_group_string,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,container_id,aliquot_id,od,fluor_gain_0.16,fluor_gain_0.16/od,dead,ungrowing,doubling_time,n0
0,r1dvbs7kdxq4md,a1,UWBF_6390,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dvmeq3q39j4t.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,7,f6d581323482ec07e437256b82df7dcb95a6a5fa,"UWBF_6390 | 30.0 | [16.0] | {""Synthetic_Complete"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_w303_positive_control_NOR_00_6390,Control,,,Synthetic_Complete,,0.0,,['Synthetic_Complete|NA|NA'],30.0,celsius,16.0,hour,ct1dvbs7m3n7u4m,aq1dvmeq3q39j4t,0.6312212290611127,45.099815157397174,71.44851,False,False,5.909251216578566,0.02842409337789366
1,r1dvbs7kdxq4md,a1,UWBF_6390,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dvmr4uvhrs88.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,7,f3978d7cb8b2b816805694e67d49786770f5ac57,"UWBF_6390 | 30.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_w303_positive_control_NOR_00_6390,Control,,,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",30.0,celsius,18.0,hour,ct1dvbs7m3c593c,aq1dvmr4uvhrs88,0.035030980363769885,3.3374055552924182,95.27011999999999,False,False,5.909251216578566,0.02842409337789366
2,r1dvbs7kdxq4md,a1,UWBF_6390,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dvn2nj87bnxv.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,7,4fbaacd5f9380eb0f81274f307aea2050cc9e46d,"UWBF_6390 | 30.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_w303_positive_control_NOR_00_6390,Control,,,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",30.0,celsius,20.0,hour,ct1dvbs7m48cz75,aq1dvn2nj87bnxv,0.03440797239235655,3.922958843702186,114.01308,False,False,5.909251216578566,0.02842409337789366
3,r1dvbs7kdxq4md,a1,UWBF_6390,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dvnc39y56ew3.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,7,c66e4c940c52bb76993f651d08892108d29fb02d,"UWBF_6390 | 30.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_w303_positive_control_NOR_00_6390,Control,,,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",30.0,celsius,22.0,hour,ct1dvbs7m3xae5v,aq1dvnc39y56ew3,0.035466426100693636,6.353256602198647,179.13439,False,False,5.909251216578566,0.02842409337789366
4,r1dvbs7kdxq4md,a1,UWBF_6390,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dvnnm4fx7k9f.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,7,8966b8dffb775d4ab440fed906695be1c3a62d5e,"UWBF_6390 | 30.0 | [24.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_w303_positive_control_NOR_00_6390,Control,,,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",30.0,celsius,24.0,hour,ct1dvbs7m4jksce,aq1dvnnm4fx7k9f,0.06303540113625865,7.9238673925624115,125.70504,False,False,5.909251216578566,0.02842409337789366
5,r1dvbs7kdxq4md,a10,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dvmeq3q7tbmx.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,28,c3f4ce374ef27184dd1ec8ec6a5530c410426523,"UWBF_24926 | 30.0 | [16.0] | {""Synthetic_Complete"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,,0.0,,['Synthetic_Complete|NA|NA'],30.0,celsius,16.0,hour,ct1dvbs7m3n7u4m,aq1dvmeq3q7tbmx,0.4310340285201275,17.99421763774291,41.746629999999996,True,True,,
6,r1dvbs7kdxq4md,a10,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dvmr4uvpajrc.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,3,650c4e27fb2dec438cc04aa52ea2c5e90f22a22a,"UWBF_24926 | 30.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0002|mM']",30.0,celsius,18.0,hour,ct1dvbs7m3c593c,aq1dvmr4uvpajrc,0.03402713858690625,5.198564620051868,152.77701000000002,True,True,,
7,r1dvbs7kdxq4md,a10,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dvn2nj8bvffz.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,3,3b3bfc91a89c729357931a02aaae08ae0878cb2f,"UWBF_24926 | 30.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0002|mM']",30.0,celsius,20.0,hour,ct1dvbs7m48cz75,aq1dvn2nj8bvffz,0.03353495982013023,4.220849565082698,125.86416000000001,True,True,,
8,r1dvbs7kdxq4md,a10,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dvnc39y9q8e9.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,3,57e924666182ef7984da9dfe81951f2981f9feb7,"UWBF_24926 | 30.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0002|mM']",30.0,celsius,22.0,hour,ct1dvbs7m3xae5v,aq1dvnc39y9q8e9,0.03376432783099178,3.2290335699715422,95.63447,True,True,,
9,r1dvbs7kdxq4md,a10,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1dvnnm4g3rcsk.experiment.transcriptic.r1dvbs7kdxq4md,YeastSTATES-CRISPR-Short-Duration-Time-Series-20191208,transcriptic,3,96af04c0e69b0c37608e8a4104bac480bdd92b5f,"UWBF_24926 | 30.0 | [24.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0002|mM']",30.0,celsius,24.0,hour,ct1dvbs7m4jksce,aq1dvnnm4g3rcsk,0.034403585453586134,4.1572076883963325,120.83646999999999,True,True,,
