,experiment_id,well,_id,sample_id,experiment_reference,lab,replicate,replicate_group,replicate_group_string,strain,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,aliquot_id,total_counts,TX_plate_name,TX_project_name,TX_sample_name,flow_volume,flow_rate_uL/min,date_of_experiment,cells/mL,cells/mL_doubling_time,cells/mL_n0
0,r1e6ge2n8x7q5p,a1,5ef26602d0a530a5a55a60ff,sample.transcriptic.aq1e6tn3vd9kjd6.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,7ae673217d9a2de0219421b2808c72378f443641,"UWBF_24926 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [4e-06]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,4e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|4e-06|mM']",35.0,celsius,18.0,hour,aq1e6tn3vd9kjd6,26369,YS-TS35C-03-05-2020-T1,Sytox-YeastGates,SytoxYG-Plate,60000,200,05-Mar-2020,439483.33333,-129795018.47979192,1394844.9764362818
1,r1e6ge2n8x7q5p,a1,5ef266c4197571bba534aca7,sample.transcriptic.aq1e6tn44xtqvds.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,6e0bdd8ff6d03ddfd96ecfe7e08da861256927fc,"UWBF_24926 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [4e-06]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,4e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|4e-06|mM']",35.0,celsius,20.0,hour,aq1e6tn44xtqvds,16186,YS-TS35C-03-05-2020-T2,Sytox-YeastGates,SytoxYG-Plate,60000,200,05-Mar-2020,269766.66667,-129795018.47979192,1394844.9764362818
2,r1e6ge2n8x7q5p,a1,5ef2660e1224eb25fb26e602,sample.transcriptic.aq1e6tn4bh9xz7k.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,f480972f3d6c32b1960d79b76fa49ba587976b45,"UWBF_24926 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [4e-06]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,4e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|4e-06|mM']",35.0,celsius,22.0,hour,aq1e6tn4bh9xz7k,30000,YS-TS35C-03-05-2020-T3,Sytox-YeastGates,SytoxYG-Plate,14000,200,05-Mar-2020,2142857.14286,-129795018.47979192,1394844.9764362818
3,r1e6ge2n8x7q5p,a1,5ef266d84a888501c32f6a81,sample.transcriptic.aq1e6tn4gk9c4td.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,d1963b1a1be96d0e0af25d4b07f55ce3aadda378,"UWBF_24926 | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [4e-06]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,4e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|4e-06|mM']",35.0,celsius,24.0,hour,aq1e6tn4gk9c4td,30000,YS-TS35C-03-05-2020-T4,Sytox-YeastGates,SytoxYG-Plate,11000,200,05-Mar-2020,2727272.72727,-129795018.47979192,1394844.9764362818
4,r1e6ge2n8x7q5p,a10,5ef266e14a888501c32f6aa4,sample.transcriptic.aq1e6tn3veqzfkj.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,744fffc4010b7d9aaff7be8b7631a48e67d899f3,"UWBF_24926 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0001]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0001,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0001|mM']",35.0,celsius,18.0,hour,aq1e6tn3veqzfkj,28892,YS-TS35C-03-05-2020-T1,Sytox-YeastGates,SytoxYG-Plate,60000,200,05-Mar-2020,481533.33333,-106418127.00812496,1734966.681493416
5,r1e6ge2n8x7q5p,a10,5ef265f9d0a530a5a55a60de,sample.transcriptic.aq1e6tn44zdjcz6.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,511c7b5649247241cf6eb8cbd5fd48127ba1ed20,"UWBF_24926 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0001]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0001,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0001|mM']",35.0,celsius,20.0,hour,aq1e6tn44zdjcz6,30000,YS-TS35C-03-05-2020-T2,Sytox-YeastGates,SytoxYG-Plate,48000,200,05-Mar-2020,625000.0,-106418127.00812496,1734966.681493416
6,r1e6ge2n8x7q5p,a10,5ef266d54a888501c32f6a73,sample.transcriptic.aq1e6tn4bjy7476.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,ea972c7acb2611ff9c152bd4ae6277e8a84e8d4a,"UWBF_24926 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0001]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0001,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0001|mM']",35.0,celsius,22.0,hour,aq1e6tn4bjy7476,30000,YS-TS35C-03-05-2020-T3,Sytox-YeastGates,SytoxYG-Plate,12000,200,05-Mar-2020,2500000.0,-106418127.00812496,1734966.681493416
7,r1e6ge2n8x7q5p,a10,5ef2666c6d07d57cb70bf1fb,sample.transcriptic.aq1e6tn4gmweznx.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,36a27960cbda2eede61fe21b085e9ee847bc2667,"UWBF_24926 | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0001]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0001,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0001|mM']",35.0,celsius,24.0,hour,aq1e6tn4gmweznx,30000,YS-TS35C-03-05-2020-T4,Sytox-YeastGates,SytoxYG-Plate,9000,200,05-Mar-2020,3333333.33333,-106418127.00812496,1734966.681493416
8,r1e6ge2n8x7q5p,a11,5ef266d94a888501c32f6a85,sample.transcriptic.aq1e6tn3vewpf8p.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,5439649acd68686b34611328f1821a370349211e,"UWBF_24926 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0002|mM']",35.0,celsius,18.0,hour,aq1e6tn3vewpf8p,26175,YS-TS35C-03-05-2020-T1,Sytox-YeastGates,SytoxYG-Plate,60000,200,05-Mar-2020,436250.0,-128508432.25985877,1602652.2483118444
9,r1e6ge2n8x7q5p,a11,5ef2668631dd0f21f58bad60,sample.transcriptic.aq1e6tn44zj46hd.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,64711872c02cbc9ab9769aa4015796b608165433,"UWBF_24926 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0002|mM']",35.0,celsius,20.0,hour,aq1e6tn44zj46hd,30000,YS-TS35C-03-05-2020-T2,Sytox-YeastGates,SytoxYG-Plate,45000,200,05-Mar-2020,666666.66667,-128508432.25985877,1602652.2483118444
10,r1e6ge2n8x7q5p,a11,5ef266626d07d57cb70bf1cd,sample.transcriptic.aq1e6tn4bk5v3ub.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,0f6f94d547fc4258d3ad34c957355503fb4b7d97,"UWBF_24926 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0002]} | FLOW | NO_STANDARD_TYPE",UWBF_24926,CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0002,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0002|mM']",35.0,celsius,22.0,hour,aq1e6tn4bk5v3ub,30000,YS-TS35C-03-05-2020-T3,Sytox-YeastGates,SytoxYG-Plate,13000,200,05-Mar-2020,2307692.30769,-128508432.25985877,1602652.2483118444
