,experiment_id,well,_id,sample_id,experiment_reference,lab,replicate,replicate_group,replicate_group_string,strain,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,aliquot_id,total_counts,TX_plate_name,TX_project_name,TX_sample_name,flow_volume,flow_rate_uL/min,date_of_experiment,cells/mL,cells/mL_doubling_time,cells/mL_n0
0,r1e7dn636p4k69,a1,5ef26517ed52f48d4f6d89cf,sample.transcriptic.aq1e7pzs5bhgxtq.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,4,b80d464c686abcb89e63ab10c8bcd25d8fb8df9e,"UWBF_6390 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_6390,CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,18.0,hour,aq1e7pzs5bhgxtq,869,YS-TS35C-03-13-2020-T1a,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,14483.333330000001,-65113860.87274201,553855.6281592811
1,r1e7dn636p4k69,a1,5ef264270459725ddc6f4cc0,sample.transcriptic.aq1e7pzsaun545r.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,4,655e541fcf5680b1bda7ac0f3e44e7a32d0c319c,"UWBF_6390 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_6390,CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,20.0,hour,aq1e7pzsaun545r,1857,YS-TS35C-03-13-2020-T2a,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,30950.0,-65113860.87274201,553855.6281592811
2,r1e7dn636p4k69,a1,5ef264996ad4b3f9e578e545,sample.transcriptic.aq1e7pzsfuuynfz.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,4,2c604942bec1c7c850d4cf8aaeb5da7c3dfa7468,"UWBF_6390 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_6390,CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,22.0,hour,aq1e7pzsfuuynfz,24317,YS-TS35C-03-13-2020-T3,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,405283.33333,-65113860.87274201,553855.6281592811
3,r1e7dn636p4k69,a1,5ef2656bbaa4291b05c7b9bd,sample.transcriptic.aq1e7pzsm9mn23d.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,4,fd1bd8561c9088f174b35792c23b001c899bb194,"UWBF_6390 | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_6390,CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,24.0,hour,aq1e7pzsm9mn23d,30000,YS-TS35C-03-13-2020-T4,Sytox-YeastGates,SytoxYG-Plate,17000,200,13-Mar-2020,1764705.88235,-65113860.87274201,553855.6281592811
4,r1e7dn636p4k69,a2,5ef2648b6ad4b3f9e578e507,sample.transcriptic.aq1e7pzs5bp2rby.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,5,70a31c43124f7460cce49e366df93c5d99329a47,"UWBF_24864 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,18.0,hour,aq1e7pzs5bp2rby,3783,YS-TS35C-03-13-2020-T1a,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,63050.0,-55228100.94606651,748688.8836359449
5,r1e7dn636p4k69,a2,5ef2647464fe727dbdd82268,sample.transcriptic.aq1e7pzsausnvny.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,5,5560b4491c3809d57deabaed57a05e6f948879d4,"UWBF_24864 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,20.0,hour,aq1e7pzsausnvny,1752,YS-TS35C-03-13-2020-T2a,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,29200.0,-55228100.94606651,748688.8836359449
6,r1e7dn636p4k69,a2,5ef264c3f3af1d5839213bef,sample.transcriptic.aq1e7pzsfv2nn57.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,5,88e152f4f067188eed456c6612bc76d5712729d9,"UWBF_24864 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,22.0,hour,aq1e7pzsfv2nn57,13012,YS-TS35C-03-13-2020-T3,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,216866.66666999998,-55228100.94606651,748688.8836359449
7,r1e7dn636p4k69,a2,5ef264c7f3af1d5839213c03,sample.transcriptic.aq1e7pzsm9tazqn.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,5,605dd26a8fd0159579048b341b63b16bee4f7c45,"UWBF_24864 | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,24.0,hour,aq1e7pzsm9tazqn,30000,YS-TS35C-03-13-2020-T4,Sytox-YeastGates,SytoxYG-Plate,15000,200,13-Mar-2020,2000000.0,-55228100.94606651,748688.8836359449
8,r1e7dn636p4k69,a3,5ef2656cbaa4291b05c7b9bf,sample.transcriptic.aq1e7pzs5buqqyz.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,c00ecdd9b3750e6ce587cb5a124d528eebedb5cd,"UWBF_24864 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [20.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,20.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|20.0|nM']",35.0,celsius,18.0,hour,aq1e7pzs5buqqyz,1816,YS-TS35C-03-13-2020-T1a,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,30266.66667,-40838912.66724237,692763.0767437781
9,r1e7dn636p4k69,a3,5ef2642c0459725ddc6f4cd3,sample.transcriptic.aq1e7pzsauybvb2.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,cc12473aa4002ac9af4dd4e81e3ea85a87e507c1,"UWBF_24864 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [20.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,20.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|20.0|nM']",35.0,celsius,20.0,hour,aq1e7pzsauybvb2,1051,YS-TS35C-03-13-2020-T2a,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,17516.66667,-40838912.66724237,692763.0767437781
10,r1e7dn636p4k69,a3,5ef2648c6ad4b3f9e578e50d,sample.transcriptic.aq1e7pzsfv77end.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,e0a915785ae30e96f158ab2d9bbb4cdd9e90e3b9,"UWBF_24864 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [20.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,20.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|20.0|nM']",35.0,celsius,22.0,hour,aq1e7pzsfv77end,17764,YS-TS35C-03-13-2020-T3,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,296066.66667,-40838912.66724237,692763.0767437781
