,experiment_id,well,strain,_id,sample_id,experiment_reference,lab,replicate,replicate_group,replicate_group_string,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,container_id,aliquot_id,od,fluor_gain_0.16,fluor_gain_0.16/od,dead,ungrowing,doubling_time,n0
0,r1e7dn636p4k69,a1,UWBF_6390,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e7spxtet5sp4.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,4,9227c4a14970ea12b2e19d220b5a3ce924cf051f,"UWBF_6390 | 35.0 | [16.0] | {""Synthetic_Complete"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,,0.0,,['Synthetic_Complete|NA|NA'],35.0,celsius,16.0,hour,ct1e7dn63ynfev9,aq1e7spxtet5sp4,0.3619634754266774,9.260540773291645,25.58419,False,False,2.344485793093883,0.018333333661825033
1,r1e7dn636p4k69,a1,UWBF_6390,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e7sz9nd2bdpk.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,4,6138d9e9cf201b9a6286003375f83f81e6c906fd,"UWBF_6390 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,18.0,hour,ct1e7dn63yyp82j,aq1e7sz9nd2bdpk,0.03519061835083842,7.421617851158423,210.89763,False,False,2.344485793093883,0.018333333661825033
2,r1e7dn636p4k69,a1,UWBF_6390,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e7taprghmnqa.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,4,b4ead0e28f6752b86d88d17b253fc996d04cf048,"UWBF_6390 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,20.0,hour,ct1e7dn63zkyk94,aq1e7taprghmnqa,0.036242778975825465,3.1682502196746536,87.41741999999999,False,False,2.344485793093883,0.018333333661825033
3,r1e7dn636p4k69,a1,UWBF_6390,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e7tm4qp2zekk.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,4,12d929c9d7a1220e3e6fd8aafcb78b0d54436e5a,"UWBF_6390 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,22.0,hour,ct1e7dn6429e5kp,aq1e7tm4qp2zekk,0.04085815417224836,4.188785722594449,102.52019,False,False,2.344485793093883,0.018333333661825033
4,r1e7dn636p4k69,a1,UWBF_6390,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e7twnungmvrk.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,4,c86076c5af76daf838eabdffe1ebc207871030f3,"UWBF_6390 | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,24.0,hour,ct1e7dn642vqgt8,aq1e7twnungmvrk,0.11473123445849745,7.154099650185003,62.355290000000004,False,False,2.344485793093883,0.018333333661825033
5,r1e7dn636p4k69,a2,UWBF_24864,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e7spxteu9yt5.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,9,0a83257efd79a97ad155d69926383a0fd9a00c37,"UWBF_24864 | 35.0 | [16.0] | {""Synthetic_Complete"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,,0.0,,['Synthetic_Complete|NA|NA'],35.0,celsius,16.0,hour,ct1e7dn63ynfev9,aq1e7spxteu9yt5,0.1861617311902312,12.055544266342249,64.75845,False,False,0.8162271825063777,0.0016983300112269999
6,r1e7dn636p4k69,a2,UWBF_24864,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e7sz9nd2bdpn.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,5,19dad87826a2055f7c50f1641942688bfb274c5e,"UWBF_24864 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,18.0,hour,ct1e7dn63yyp82j,aq1e7sz9nd2bdpn,0.03513304780092375,6.578503179583478,187.24545,False,False,0.8162271825063777,0.0016983300112269999
7,r1e7dn636p4k69,a2,UWBF_24864,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e7taprghmnqc.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,5,e2b5d9d296d85350330c61c3671d19592e36a64b,"UWBF_24864 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,20.0,hour,ct1e7dn63zkyk94,aq1e7taprghmnqc,0.0353665397478102,3.5936827867866783,101.61251,False,False,0.8162271825063777,0.0016983300112269999
8,r1e7dn636p4k69,a2,UWBF_24864,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e7tm4qp2zekn.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,5,4273f95b514206090f1c42837a8017e15fd01097,"UWBF_24864 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,22.0,hour,ct1e7dn6429e5kp,aq1e7tm4qp2zekn,0.03782298727778488,5.0202305944503935,132.72961999999998,False,False,0.8162271825063777,0.0016983300112269999
9,r1e7dn636p4k69,a2,UWBF_24864,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e7twnungmvrn.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,5,e2f4bcdcecc939692cd98f64e38a085be1750dc4,"UWBF_24864 | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,24.0,hour,ct1e7dn642vqgt8,aq1e7twnungmvrn,0.27852699755970184,12.003371474657733,43.0959,False,False,0.8162271825063777,0.0016983300112269999
